frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,ambil,ambil12,-397.95145,3.2093027,2.9739823,2.5996008,2.1113088,1.5413309,0.92629087,0.30428964,-0.28808075,-0.8184754,-1.2610159,-1.5978909,-1.8201373
1,ambil,ambil12,-112.782135,45.435608,-35.236553,-19.546295,-3.7485728,8.173178,-1.8162836,-1.2545009,8.090223,-5.3483486,8.087966,-16.554403,1.4686452
2,ambil,ambil12,-69.518486,68.90642,-28.630817,-13.913989,-8.272087,8.756376,1.3087045,-0.8720311,10.569389,-0.7898114,8.617828,-16.849829,-2.9561152
3,ambil,ambil12,-78.256386,78.94062,-21.815678,-17.861408,-4.943939,10.43688,-1.921113,3.5518155,7.658716,-2.58093,4.74253,-9.44746,-12.167454
4,ambil,ambil12,-87.580284,87.71431,-15.499659,-22.630081,-5.661107,5.856878,3.6232529,-2.8968496,7.8493466,1.5317235,5.8286443,-8.237479,-14.007738
5,ambil,ambil12,-96.346855,94.37666,-8.903063,-23.402573,-1.6324433,2.3146296,5.380234,-2.880877,2.5712311,1.1900086,17.522383,-10.803604,-12.697081
6,ambil,ambil12,-135.22397,86.71105,1.6701866,10.720527,14.1612215,5.037732,16.16731,0.5985995,-1.5417285,-12.611644,16.278288,-20.364025,-2.180872
7,ambil,ambil12,-140.473,77.98111,4.7072945,25.60262,14.067194,9.423597,21.193287,-10.282534,-9.629427,-17.65583,17.896915,-20.872883,3.310841
8,ambil,ambil12,-148.76048,76.88063,9.478183,28.713108,14.432547,5.4275713,19.111616,-10.345965,-10.883078,-17.81298,17.38812,-17.289476,1.5104035
9,ambil,ambil12,-176.70589,78.216675,24.591526,37.126778,14.381336,4.0412507,17.581184,-0.13491446,-13.920273,-21.252537,8.240328,-11.565587,5.514051
10,ambil,ambil12,-194.94272,80.88217,38.762535,35.84875,16.04748,-6.8561745,15.93992,6.8663006,-13.157025,-15.326989,5.34573,-8.624112,-2.5333571
11,ambil,ambil12,-145.78737,66.96953,18.849545,47.303925,2.780137,-10.594313,9.785895,-14.173506,-0.04410398,-32.72912,15.171898,-9.717375,-14.084248
12,ambil,ambil12,-136.19969,53.55245,21.715618,50.454746,14.33094,-10.547167,11.582522,-22.49334,-3.1078258,-20.286377,4.01987,-2.2163756,-14.219991
13,ambil,ambil12,-134.84818,53.598312,23.150944,49.350555,13.82131,-12.676044,12.403579,-21.791187,2.098268,-19.709555,2.9050105,-4.1224704,-13.634834
14,ambil,ambil12,-130.46129,62.765263,14.809639,40.064697,12.292173,-13.696194,7.021738,-21.711584,2.1802702,-16.638502,0.31006658,-6.582909,-11.787432
15,ambil,ambil12,-113.19695,70.87106,9.53396,19.360281,15.139549,-6.8576174,-10.194971,-21.633839,14.035278,-20.972185,-1.7288079,0.32824278,1.2915015
16,ambil,ambil12,-99.95871,85.605545,-2.9763286,8.276726,13.798613,-11.508211,-5.7879314,-21.582531,11.261184,-12.754347,7.5578046,-10.350887,-0.32282072
17,ambil,ambil12,-101.69459,84.6165,-7.0347633,19.8353,0.3881752,-2.4413466,-0.7704992,-30.08011,8.300909,-17.071436,9.913319,-2.4629762,-8.0916395
18,ambil,ambil12,-109.72893,85.183426,-6.5253997,16.523687,2.0510926,-4.0662537,2.100093,-23.587624,2.030506,-6.6900535,11.620363,-7.754857,-9.391506
19,ambil,ambil12,-149.89845,89.02966,-2.3760877,7.515544,8.208958,3.207888,9.19043,-21.435764,11.802546,-2.255954,15.9519415,-1.4834526,-2.2756011
20,ambil,ambil12,-213.01114,76.048584,6.6219015,8.650063,4.355733,12.067484,12.695152,-6.630849,13.702783,-3.7313185,12.66695,1.3701036,10.317003
21,ambil,ambil12,-269.4068,60.047165,10.854515,10.75186,11.7197695,18.935097,13.325799,-6.9476733,11.135124,3.7758005,18.682304,-0.9703063,2.8107252
22,ambil,ambil12,-317.91623,53.310974,22.918224,15.471656,9.245574,6.2792416,9.826875,8.188482,9.475491,3.8500926,5.3055897,1.1777395,4.010219
23,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
24,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
25,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
26,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
27,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
28,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
29,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
30,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
31,ambil,ambil12,-400.27756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
