frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,ambil,bambil5,-243.02654,50.824017,2.6858492,19.45603,2.1389413,21.964909,4.1302257,7.2434216,2.4800038,3.5644011,-0.9484013,-1.3654776,-5.005892
1,ambil,bambil5,-167.78635,77.65495,7.216671,22.261848,-2.1408768,23.680075,3.991746,5.8862166,8.005028,10.110164,4.362026,-9.102035,3.20016
2,ambil,bambil5,-128.72607,83.823006,-0.5804838,17.054134,3.456975,27.874096,4.4799895,-1.1537033,16.543118,13.778313,2.5305011,-1.0071111,2.9691758
3,ambil,bambil5,-127.386024,90.510315,-0.5713726,14.755808,4.845113,16.450111,5.253834,12.486557,18.940067,7.853545,3.5845318,-1.9550164,2.6321063
4,ambil,bambil5,-164.73518,79.50964,4.7662287,31.618622,8.940107,27.612854,7.977049,9.598661,8.235293,7.8077283,1.6245177,-5.9524107,0.36804658
5,ambil,bambil5,-164.17285,76.25235,3.725443,35.715584,15.243504,28.49466,5.346511,11.85134,7.3567133,8.934241,-0.6102878,-9.605536,-0.034068704
6,ambil,bambil5,-170.67215,74.75505,3.6626344,35.078217,19.870815,30.707714,2.6681285,8.930433,9.206956,12.511829,-2.7496436,-3.0512066,0.33140635
7,ambil,bambil5,-174.1893,75.95471,11.278266,43.097427,17.898533,29.016537,4.545994,3.6964297,1.8350347,10.809889,1.68626,-3.7435527,-3.9250643
8,ambil,bambil5,-178.07089,80.362434,17.820644,39.9643,12.827312,21.141853,5.7662783,14.092182,0.7551428,9.618723,-1.1285784,-2.8346999,-4.0460134
9,ambil,bambil5,-163.76892,65.21599,5.613912,41.724224,19.145798,14.830106,5.133441,10.296417,4.3286667,7.7628927,4.6633697,-2.908398,2.835174
10,ambil,bambil5,-139.73659,63.263405,20.140163,66.69175,6.6163845,6.0427628,13.993883,-0.026008487,2.1717465,0.01044929,2.4269025,-9.721164,-8.294867
11,ambil,bambil5,-130.10382,52.99039,29.388153,60.832287,3.3399272,12.341731,22.899097,-2.7304366,-7.1392584,-3.5813766,5.398344,-15.876101,-1.4713796
12,ambil,bambil5,-102.66846,56.57396,3.46919,51.773575,29.143465,10.176019,-2.4251804,-6.11325,2.3859591,3.609374,2.9685633,-16.747032,-2.43184
13,ambil,bambil5,-136.50117,70.79678,23.205276,34.1594,15.66947,12.829262,7.838681,-3.342216,1.248414,2.7985368,9.39011,-11.386024,-0.78780025
14,ambil,bambil5,-148.90266,74.097206,24.612347,28.214855,13.151434,10.669651,1.0521204,-1.2852697,12.663343,17.997421,10.112069,-12.301382,-2.3593588
15,ambil,bambil5,-153.19363,71.00983,16.48229,20.99065,14.968742,25.282967,2.047368,-1.3909441,13.248735,10.865929,7.70751,-3.614611,-2.5920134
16,ambil,bambil5,-176.82559,64.31218,2.3325326,23.983662,9.974373,22.773884,2.0536225,0.57137203,10.059407,13.989205,7.507999,-3.884848,4.583728
17,ambil,bambil5,-225.0937,51.931408,-6.881348,14.792181,-1.9762781,19.866947,2.066835,8.476818,6.8354244,14.53794,1.7900187,-4.0710225,-1.5012782
18,ambil,bambil5,-246.07982,47.27385,0.7048745,20.904642,3.4650447,16.100609,9.10006,0.017011106,-1.9579233,4.8776035,-2.7632332,-0.28319502,-4.7393928
19,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ambil,bambil5,-392.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
