frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,ambil,dambil4,-375.45682,15.938761,18.33842,13.05471,11.007678,4.6196294,3.053217,3.550486,-2.17702,-2.6879303,1.461614,2.064487,2.4107168
1,ambil,dambil4,-151.042,54.30729,-0.32171595,-6.8896313,-6.4922895,25.272274,-1.2006317,2.9871142,3.141032,9.380813,3.4382129,-3.6067138,-4.6408033
2,ambil,dambil4,-124.72326,87.880264,11.527657,-18.298927,-5.420265,29.863367,0.4551237,-1.3663335,3.3570824,8.653345,8.430393,-5.362794,-7.9472656
3,ambil,dambil4,-98.02829,80.04603,14.496399,-12.779717,-3.3292964,28.165298,4.191812,-2.626033,2.4611776,2.316928,8.45289,-5.2898836,-1.8759563
4,ambil,dambil4,-91.166885,79.320724,17.158398,-19.036243,2.4971025,28.097086,6.295901,-3.9361362,1.1167318,-0.5053584,5.4662743,-4.529851,0.7205061
5,ambil,dambil4,-96.74111,86.34245,16.318188,-13.313875,-0.789148,24.117718,9.805353,-9.149567,5.147891,-1.2362002,2.6518598,1.3698922,-0.41395575
6,ambil,dambil4,-142.70395,94.467255,18.399721,3.917903,11.91809,22.1423,3.02343,-8.990975,0.16669393,-5.3776245,5.8145194,-7.028646,9.131697
7,ambil,dambil4,-159.62627,95.620384,6.4019613,16.556581,28.097973,30.61248,6.679103,-8.889491,-6.240845,-11.620005,-0.44198298,-9.775555,7.0052857
8,ambil,dambil4,-152.69655,95.33833,-3.7001417,23.08818,22.290525,27.828396,4.7151146,-3.0106134,-1.2333925,-9.8038845,-2.9149115,-16.494572,6.965973
9,ambil,dambil4,-171.79767,92.912476,3.2283864,30.690289,23.447525,32.94744,3.7105203,-3.6037836,-6.5812235,-17.92453,-1.635252,-11.708683,7.206437
10,ambil,dambil4,-172.82959,98.27688,8.833227,25.164595,18.329063,26.222067,-0.20204198,-8.67559,0.64263344,-10.083393,2.7996244,-12.62207,6.706924
11,ambil,dambil4,-181.30289,99.92403,14.549402,29.764507,17.157116,23.9691,-3.6064453,-13.875698,2.0117433,-0.9794311,8.108855,-13.107916,-0.33404374
12,ambil,dambil4,-183.68263,100.9779,20.371632,28.992764,15.908842,16.738665,-8.318292,-10.008055,9.0874,0.5908036,3.7377949,-15.831371,-4.1615334
13,ambil,dambil4,-207.82312,106.89073,35.36167,36.967598,19.444672,4.8047676,-4.8689623,-4.724785,1.7525452,1.1703923,6.5822096,-17.111275,-2.974945
14,ambil,dambil4,-235.12746,96.33145,48.116158,26.44091,17.289692,6.89415,-2.8890553,0.41742402,-0.07993987,4.375621,4.928999,-16.093391,4.7030725
15,ambil,dambil4,-197.00256,69.81052,24.986593,40.91678,36.890427,16.914696,-11.093946,-6.090049,2.0874934,2.0212169,0.6563643,-12.287874,-6.8711786
16,ambil,dambil4,-152.02469,58.68038,45.82583,65.52285,13.3478985,6.1742783,6.421152,-9.576126,-8.368156,-11.234808,-0.28877354,-12.876113,-0.43687916
17,ambil,dambil4,-139.1373,57.481964,47.025414,59.371307,7.686332,0.3119351,9.387228,-10.886295,-9.792105,-12.17168,5.503245,-14.765912,-5.028454
18,ambil,dambil4,-141.09625,62.55181,41.940613,64.23723,15.914457,-7.682987,-8.69247,-13.814838,-4.7237263,-9.302553,9.231476,-12.614125,-6.9992976
19,ambil,dambil4,-141.54094,67.379456,47.14354,38.686424,17.865025,3.40084,-14.198678,-11.526079,4.2035484,-15.705594,0.048128843,-6.675813,1.1879925
20,ambil,dambil4,-132.01791,79.418945,34.99029,24.284008,17.077663,12.689444,-13.974157,-13.807067,-3.1370122,-5.7071905,4.121403,-18.372383,9.024974
21,ambil,dambil4,-148.06346,86.47261,27.62481,14.671413,13.657495,27.335257,-6.1607194,-18.454388,-3.6922529,-3.222721,4.62036,-12.189599,1.674273
22,ambil,dambil4,-165.9077,95.40091,30.49907,7.011075,1.440423,26.346434,4.554452,-15.791226,-4.247846,-2.2964442,5.6583805,-8.483885,2.2293458
23,ambil,dambil4,-178.86519,94.69455,31.91499,-0.55972385,0.4796573,25.073616,5.616233,-16.696121,-3.4788864,6.602954,7.697384,-15.22209,10.401417
24,ambil,dambil4,-198.3067,89.94156,33.315075,-2.4054842,2.9615002,31.612865,12.097635,-11.873608,-4.507761,5.76623,5.907693,-10.586882,13.621728
25,ambil,dambil4,-221.88765,91.26282,28.907799,-0.63675606,8.754536,26.799377,5.884754,-8.481829,-4.9524713,4.655158,3.1909878,-8.801128,8.766334
26,ambil,dambil4,-239.59648,86.54919,20.46941,-11.318325,14.443378,32.7807,10.363068,-5.9240675,-2.663043,8.223516,2.9937005,-2.6592913,12.604982
27,ambil,dambil4,-261.5107,90.43373,21.538414,-10.300755,10.639284,31.459162,15.689111,-0.26056585,0.8298274,7.4483905,2.673922,-2.3392158,10.516057
28,ambil,dambil4,-232.94939,59.63594,16.284925,11.057758,6.3298297,8.593609,8.109849,3.2716436,2.759006,2.5563893,2.6889672,0.5241326,-1.4764783
29,ambil,dambil4,-397.47595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ambil,dambil4,-397.47595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ambil,dambil4,-397.47595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
