frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,berhenti,bberhenti8,-232.78929,50.486313,2.1094494,21.161987,6.3576326,7.891815,3.4538074,5.079455,-0.43889117,-1.4275331,-2.6900084,-2.1955297,3.9978113
1,berhenti,bberhenti8,-183.59938,58.477676,-1.136816,32.866287,0.37139255,23.828327,1.1011429,-6.384203,12.419998,8.169657,-2.4210758,4.972635,-5.591425
2,berhenti,bberhenti8,-115.89588,90.34857,4.0573797,33.52021,1.601654,15.066238,-3.7107625,-5.866597,16.08466,3.7286198,7.5629845,1.1914234,0.9068674
3,berhenti,bberhenti8,-126.21067,87.88505,-5.3177094,37.80777,16.758614,19.296618,-16.180561,4.708362,15.109698,4.9963207,5.3080482,-2.2924547,-0.12614405
4,berhenti,bberhenti8,-115.70617,77.283745,-6.5530596,25.56917,11.447338,3.4830914,-4.3915367,5.8618507,20.291689,15.672332,15.80815,0.6830493,5.571318
5,berhenti,bberhenti8,-126.697235,75.13607,-11.843708,26.720602,21.043522,8.836917,-3.5402007,3.7791843,21.320938,16.39235,6.24988,10.39811,8.876194
6,berhenti,bberhenti8,-154.56445,69.90245,2.3811681,38.079155,21.538347,21.28059,0.8715743,10.641352,15.137932,20.267479,6.915798,-3.398107,-0.897532
7,berhenti,bberhenti8,-153.89806,78.72508,9.987336,42.516518,20.652575,21.204308,3.8663416,9.93699,7.5205126,12.208242,-4.8691645,-6.949019,-1.8935082
8,berhenti,bberhenti8,-158.56485,77.02395,9.716209,37.37397,15.025036,26.963085,11.459841,15.90333,3.1218145,8.430419,-5.594556,2.6734967,0.852702
9,berhenti,bberhenti8,-163.12132,77.260605,14.450933,39.37778,11.8595495,24.619144,13.542961,16.91676,0.9850476,4.1375666,-4.2075377,2.257719,-4.535809
10,berhenti,bberhenti8,-169.06342,71.29462,10.4946785,31.5404,8.996492,28.16551,18.54448,13.771746,-0.4254024,7.515419,-6.085766,3.7014327,0.081003964
11,berhenti,bberhenti8,-172.60587,68.3542,-5.7034845,18.211557,-1.3512726,17.760834,10.083502,21.162645,2.7884593,8.224544,4.4522915,5.4559555,5.772665
12,berhenti,bberhenti8,-150.51,48.440933,-5.055155,19.710367,8.8293915,4.795889,6.360715,12.46756,-0.8757763,3.606526,7.812554,4.093904,-8.278084
13,berhenti,bberhenti8,-121.85804,69.762794,13.202724,52.030266,0.38888752,12.041274,18.21188,-3.9754512,-7.1872854,-2.225078,5.7731333,-6.6652083,-5.4047346
14,berhenti,bberhenti8,-118.662575,68.88959,14.189997,46.41519,4.7491455,10.773947,21.272867,-3.1361835,-2.0819523,0.1693402,5.5611005,-7.5873146,1.0517635
15,berhenti,bberhenti8,-129.69817,64.11616,17.202389,49.166977,2.101294,16.216387,20.720196,0.013959646,-0.583591,1.1931889,5.80191,-3.2618036,0.8814334
16,berhenti,bberhenti8,-134.38028,62.1464,6.244996,49.098568,2.5985649,20.035606,20.411911,1.9936001,3.908522,12.078722,2.9618874,-6.720458,0.15973535
17,berhenti,bberhenti8,-146.64127,65.70165,5.067222,42.773857,9.646969,15.437489,18.161867,10.383342,-2.1903949,7.2673063,-0.13583016,-4.422329,0.6697227
18,berhenti,bberhenti8,-157.28665,62.3403,-6.7203856,35.377117,8.974502,13.335561,17.064949,4.16156,-2.4557586,10.8173065,-0.8344903,-9.586971,3.9657345
19,berhenti,bberhenti8,-192.78009,62.76732,-1.4097778,25.581415,-0.417566,17.466091,5.5278974,6.438201,-1.1863508,8.450483,-1.1266146,5.0746393,2.1583636
20,berhenti,bberhenti8,-224.86125,52.73334,8.377046,18.191402,-0.6089413,10.554905,8.816034,10.73399,1.1940372,7.9492087,2.2504382,-0.47780842,1.3817549
21,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,berhenti,bberhenti8,-386.4729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
