frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,berhenti,berhenti23,-379.2976,13.967103,15.677256,9.265062,9.361498,2.337969,2.5982733,-3.29038,-1.6185675,-5.409854,-2.121233,-4.218276,-0.10404855
1,berhenti,berhenti23,-259.20718,35.470367,56.246223,18.081219,38.935307,4.270424,19.482018,-12.653439,10.813829,-12.344972,7.580053,-4.0511494,6.0948977
2,berhenti,berhenti23,-216.7134,75.382454,70.102325,30.56142,26.120798,4.1010146,21.101913,-0.7179966,-1.8551097,-20.708223,-4.358286,-0.8056574,13.448874
3,berhenti,berhenti23,-231.1982,81.645996,55.52582,34.856323,27.95868,10.979517,16.914179,-1.925178,2.4636068,-7.527689,-1.837137,-3.2866464,1.4045732
4,berhenti,berhenti23,-145.17123,65.247444,43.483364,17.976997,7.493519,10.05982,13.946909,-11.924641,-4.69385,-15.406443,-2.356019,-1.928853,5.3089266
5,berhenti,berhenti23,-108.39716,76.34278,46.90097,9.212536,-12.987647,10.713056,26.29176,-21.679333,-23.287392,-1.4473896,19.614954,-2.412202,-5.008088
6,berhenti,berhenti23,-112.11402,77.39815,54.39984,4.1870265,-11.225325,9.556398,16.835712,-20.535748,-18.863941,2.7523284,21.390867,-8.703732,-9.016322
7,berhenti,berhenti23,-109.70831,73.42108,50.570217,8.442681,-7.2466793,15.229523,5.7312527,-26.160494,-9.492983,13.6693325,-0.29005802,-4.4048243,5.9845467
8,berhenti,berhenti23,-105.05811,82.53114,36.84859,8.778941,-7.936966,10.697153,6.1652365,-22.048695,-4.6395283,15.780237,-1.4226584,-7.249333,3.4461122
9,berhenti,berhenti23,-103.08126,78.177765,40.55754,8.47163,-18.985336,12.458624,12.750406,-22.724491,-7.4002967,15.647262,8.563668,-4.216124,-6.3708034
10,berhenti,berhenti23,-132.24,74.26756,22.039936,23.60884,13.379623,-1.7322599,3.3111448,-13.525383,1.4100132,4.850823,-1.9645753,5.744154,-5.5452595
11,berhenti,berhenti23,-113.731514,47.078747,24.766535,25.508028,4.5000567,5.3570724,5.138149,-20.817947,14.246863,3.8334591,0.32846642,6.375693,3.5796056
12,berhenti,berhenti23,-118.360214,64.01468,31.389465,14.538472,-0.8164004,8.912901,12.397887,-7.8103046,8.878333,19.052036,-8.436392,-4.010249,7.2134657
13,berhenti,berhenti23,-117.5718,64.72354,29.438158,6.2320375,-5.9250507,12.414131,11.875264,-0.45701784,13.61936,6.674358,-4.3522635,1.2020181,5.453195
