frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,berhenti,dberhenti3,-342.13034,54.866493,30.367584,19.708057,18.033152,21.518375,14.199467,5.745501,5.003418,0.6323546,-0.54341435,-1.7069275,-3.4188673
1,berhenti,dberhenti3,-322.84888,83.838776,62.337395,44.00425,21.48891,14.399838,12.032999,3.9759912,-1.1073164,-7.197792,-8.311128,-4.3863864,-2.0229194
2,berhenti,dberhenti3,-182.16743,100.09767,52.9843,-4.639036,9.690023,25.607037,8.340041,-17.633945,-7.0468163,-18.71792,6.6122856,-5.2485247,1.1539333
3,berhenti,dberhenti3,-128.58534,95.03578,40.60319,-4.6421027,-5.331623,29.026516,5.719058,-21.963917,-9.228393,-4.733707,10.898191,-9.608339,3.0383265
4,berhenti,dberhenti3,-115.981544,88.45857,29.864414,-3.470169,-8.743187,27.224586,4.4858274,-21.22385,-4.5680523,3.165683,10.841148,-11.2972765,4.7330294
5,berhenti,dberhenti3,-118.34668,89.709145,32.68028,-8.601659,-7.7682176,23.995922,2.7024953,-22.63203,0.21854979,6.226239,10.850967,-13.780935,11.632243
6,berhenti,dberhenti3,-110.13311,84.62018,27.121218,-8.832588,0.064855576,19.562212,-0.15821183,-19.254734,1.3877541,2.3747816,15.306055,-17.33213,13.353735
7,berhenti,dberhenti3,-101.470955,85.13019,22.446173,-10.792952,2.5727456,23.100382,-5.9836907,-16.918621,1.2924424,5.671542,11.189276,-17.07076,14.872953
8,berhenti,dberhenti3,-103.45216,82.06577,16.353886,-3.2737658,4.4599686,22.884987,-11.903633,-16.85313,5.2653856,9.000827,8.21702,-12.350706,11.269747
9,berhenti,dberhenti3,-131.56107,71.670944,8.9706545,5.09985,13.155973,13.592428,-3.777311,-11.662413,8.42798,14.630198,-1.3976796,2.2201626,3.4216833
10,berhenti,dberhenti3,-124.97576,80.17693,11.495467,6.912225,13.71221,10.325991,1.0782921,-14.79475,5.014352,7.8643847,-4.436785,-5.79706,5.5054817
