frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,cepat,bcepat10,-247.26198,36.189674,-11.530821,20.828457,1.2938582,17.876223,-4.797282,8.180073,6.3975344,4.027886,0.41079307,1.300617,6.0968204
1,cepat,bcepat10,-114.53117,13.789553,-10.316571,16.372759,-12.972379,-8.663601,3.0054967,-8.706151,2.092204,10.075279,-7.6456537,6.1079435,-1.1684064
2,cepat,bcepat10,-138.46591,10.686832,-9.052678,37.71509,0.2631076,-9.122146,-2.266985,-3.4694161,7.924863,10.713319,-3.6955492,7.281891,1.6326088
3,cepat,bcepat10,-97.92403,81.945114,8.043797,31.549896,13.709402,1.0858529,2.2206547,-6.1072855,4.359616,-0.32150206,9.688959,-3.649878,-2.2637293
4,cepat,bcepat10,-173.29169,73.11937,11.387001,28.91177,8.551538,20.965761,5.4948535,6.796113,-1.345118,8.530845,0.5670073,-0.05638686,-1.1984165
5,cepat,bcepat10,-200.53175,60.152843,4.1606903,29.9912,1.3267462,19.919498,2.823707,10.421103,0.48769492,5.412513,2.6389675,3.2703335,-5.623515
6,cepat,bcepat10,-217.06914,52.322395,0.35668927,22.193537,1.2204331,17.59467,1.3550776,8.663475,4.4924774,7.5044107,-2.819614,2.9070737,2.5773554
7,cepat,bcepat10,-217.83282,51.18293,-2.6698947,24.285412,-1.8251152,14.912699,-0.094334304,7.716914,-0.4894247,2.0965853,-2.779003,3.7738125,-0.9046174
8,cepat,bcepat10,-223.70158,45.91454,-3.2911258,20.31736,-5.9652147,16.265198,-1.2796935,1.7270997,-2.2898364,4.2943416,-3.4874408,-1.0393885,-2.6778133
9,cepat,bcepat10,-186.36395,45.868042,-14.958847,21.858011,2.771863,10.229932,-1.3972967,-1.9538558,-3.9237463,9.021468,1.0215721,0.54369015,-4.408991
10,cepat,bcepat10,-152.60744,72.2868,-15.010937,3.2150607,-3.033235,17.252888,11.444963,4.119788,10.32622,9.564562,4.6312385,-5.337535,-6.5709915
11,cepat,bcepat10,-97.12041,83.89369,-5.673071,5.014409,2.962788,24.279503,9.0719595,-2.1125247,15.5324335,8.426435,15.383162,-2.931327,-8.83363
12,cepat,bcepat10,-113.03359,76.28272,-5.7112913,19.920692,8.524236,20.615078,9.873995,-3.1607459,13.579054,13.660433,12.074323,-6.2707796,-2.298973
13,cepat,bcepat10,-124.724846,67.33417,-12.3433275,21.230072,7.4456534,17.92427,10.645151,4.497202,15.2927265,27.725529,16.58487,-5.8730245,-4.108079
14,cepat,bcepat10,-172.77995,65.20288,-2.8614326,26.044937,6.1104517,20.055113,4.0225286,6.4046636,6.3962007,17.640049,1.8410081,2.3051045,-0.20340085
15,cepat,bcepat10,-207.25317,47.823635,-4.2541065,28.988739,6.1855993,21.845573,-1.6203233,7.778658,3.1819415,10.029226,2.4943311,9.075659,5.839564
16,cepat,bcepat10,-215.32297,47.04865,-7.334864,23.798649,3.7045503,21.862923,6.20267,9.70256,5.044212,10.808616,-0.5466281,5.4567266,-0.47940207
17,cepat,bcepat10,-238.55444,51.57405,-3.3223655,16.206228,0.4809693,21.382969,-0.189565,3.0181985,6.729944,9.794756,-0.40869868,-0.5012447,0.33649105
18,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,cepat,bcepat10,-392.34555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
