frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,cepat,cepat26,-375.4547,26.40441,14.56554,15.658117,11.40473,8.882154,7.247328,2.0932388,-1.6918674,-0.21737018,3.6776798,-0.44036984,-5.786218
1,cepat,cepat26,-120.46284,-15.972403,24.466635,-3.5746155,-19.907627,-1.6616741,7.3636656,-7.2631826,10.889357,-12.265652,-7.360723,-0.30176455,0.38625455
2,cepat,cepat26,-141.17397,1.0950708,27.99187,18.507568,0.81732476,5.679701,3.221808,-13.568011,15.926436,0.32695735,-9.131186,-3.8878818,-4.2806396
3,cepat,cepat26,-110.5227,73.85249,36.932243,0.63182247,1.9416697,12.369591,15.998881,-10.590775,2.5493774,-2.2939835,-2.7730362,-3.9894683,-7.048625
4,cepat,cepat26,-175.21756,49.13717,28.487682,12.56906,8.46227,3.615924,11.235664,-1.1969243,4.9512997,-8.23892,2.79699,-6.5450325,-8.454066
5,cepat,cepat26,-221.11864,39.809128,33.880028,3.5314794,5.8823786,2.0217197,8.856767,-6.4829206,0.5702287,-3.412093,4.4542637,-8.723177,-0.99232584
6,cepat,cepat26,-274.72446,42.463272,27.7383,12.173199,11.963201,14.202316,7.718925,1.68816,3.4484906,-2.7043953,6.6196404,-5.378417,-3.0370545
7,cepat,cepat26,-285.44977,47.9524,3.8698144,9.941875,14.879242,12.094759,5.927907,1.3655102,8.03287,2.403728,-1.6142902,-6.076612,8.33919
8,cepat,cepat26,-125.10036,106.348656,30.388115,-13.111666,-15.297431,-7.8601027,20.086102,-0.064138174,2.8150358,-14.795171,-6.5574255,7.4176283,-7.9510365
9,cepat,cepat26,-105.3575,108.33089,4.7852345,-27.14698,-12.307806,8.214408,23.725227,0.6845365,4.1404686,2.4015622,-3.673554,3.658372,-10.967245
10,cepat,cepat26,-86.74701,102.87216,-0.41127586,-25.48175,-9.748459,4.1475706,13.52207,7.232222,-4.116002,4.2956276,4.205291,-1.201899,-18.203089
11,cepat,cepat26,-91.771996,101.60997,-4.5666547,-27.385084,0.35264128,4.945237,12.292629,7.997114,-5.6210995,10.664934,-1.7708137,-4.0374494,-14.624139
12,cepat,cepat26,-90.91144,97.506,-3.2172022,-26.918198,-0.88944393,7.277659,13.219113,4.8292212,1.5279175,7.4852986,3.1423755,-1.7531627,-8.513739
13,cepat,cepat26,-92.70164,99.68938,5.146814,-26.053282,1.402251,12.22349,5.7010975,5.170697,0.6524629,2.6404486,2.0025773,-10.120263,-9.294861
14,cepat,cepat26,-91.120834,94.1586,7.535437,-29.066841,0.7076706,10.29664,2.2776928,4.7104635,-0.20144923,9.69051,0.6539178,-5.13402,-10.220448
15,cepat,cepat26,-91.60519,80.97087,15.4388485,-27.403173,1.2831881,13.819128,6.7091913,4.019681,1.0092393,11.405247,-5.388768,-12.788143,-6.7300043
16,cepat,cepat26,-109.65271,68.96614,19.241581,-16.511915,-6.095929,9.736696,13.092388,5.8565035,2.5282283,11.608462,-7.739583,-10.185959,-6.7269754
17,cepat,cepat26,-150.07896,62.998882,24.009647,-16.758049,1.7275131,11.3714485,1.6920826,5.5282984,3.3257196,10.853054,-1.9365069,-9.85301,-4.5008154
18,cepat,cepat26,-209.90501,66.36441,14.369261,-12.158731,4.4260015,6.4496756,5.8881607,6.146735,1.7694722,10.981784,0.37120295,-3.8695226,-5.133564
19,cepat,cepat26,-278.929,50.184666,-1.826838,-1.4209113,3.7840023,-1.459945,3.6816564,11.973949,9.934294,18.226135,5.941907,-5.362709,-0.29780522
20,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
21,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
22,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
23,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
24,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
25,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
26,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
27,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
28,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
29,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
30,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
31,cepat,cepat26,-404.61722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
