frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,cepat,dcepat5,-217.10248,-11.716885,18.164124,6.3598475,8.735218,5.5241537,-3.2736123,-13.236341,1.0756307,-8.515707,-2.6876092,-11.290344,-0.71638274
1,cepat,dcepat5,-151.20052,-14.247818,10.237087,4.525137,-15.340572,-3.3067102,-3.3811488,-14.583387,-2.6316373,-14.273897,-6.6590533,3.1004121,-2.049952
2,cepat,dcepat5,-155.65942,50.490593,34.370308,32.446457,16.17146,-2.4721193,-6.4003215,-13.030739,7.024356,-5.454977,-2.6660614,0.86599994,5.1547356
3,cepat,dcepat5,-125.04983,73.657646,23.495796,24.29852,10.627349,6.595029,-3.8259,-21.544796,11.272596,-7.157875,4.7071886,-9.223409,8.019507
4,cepat,dcepat5,-116.70983,81.388435,18.468063,10.003023,7.8916206,13.526828,-4.08334,-22.371063,15.485235,-4.596265,4.8578205,-11.929062,11.870333
5,cepat,dcepat5,-114.05943,79.96425,21.821877,8.245668,7.235733,15.466988,-9.520666,-21.386862,15.2055855,1.6892726,6.3256073,-17.52453,12.084347
6,cepat,dcepat5,-116.943855,79.48134,23.211689,3.136365,10.029657,17.440025,-4.579563,-22.762707,11.830761,-0.47051835,6.9979153,-18.452179,11.580051
7,cepat,dcepat5,-123.98711,91.17936,21.777737,1.5995274,11.7397585,17.940842,-4.9830074,-26.104198,10.564707,-0.73242986,8.687356,-18.1291,12.632402
8,cepat,dcepat5,-124.1517,94.75432,20.62765,0.107398406,6.0297065,17.2022,-1.677439,-22.639708,9.423864,1.9678905,7.0298424,-17.174816,9.297691
9,cepat,dcepat5,-125.81307,96.82326,19.525438,-1.266362,9.568891,16.480427,-3.0169988,-23.532515,7.387107,0.9371222,11.092476,-15.097231,6.16101
10,cepat,dcepat5,-127.1097,97.07871,19.318731,-1.2052503,9.231978,17.625912,-6.5772905,-18.281166,2.9733396,2.0824895,13.619048,-17.284107,8.283326
