frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,kanan,bkanan3,-278.64465,29.447796,-12.526178,22.645111,6.7713714,15.272219,-2.9749713,0.92671573,-6.016824,2.735323,5.166752,2.5044003,4.8801937
1,kanan,bkanan3,-98.6615,47.10871,-19.158424,-9.232192,-1.3810587,16.26673,-4.2245464,-12.993887,-2.5736876,15.581967,16.302376,-13.05406,-2.1986787
2,kanan,bkanan3,-161.21094,41.555374,-24.231888,-1.2243705,9.149294,24.072405,-1.3410783,-12.148092,5.521724,11.881374,11.852402,-4.0742354,-1.3289504
3,kanan,bkanan3,-114.066154,76.87451,-8.460487,14.934973,13.13523,17.47282,1.9615401,-8.802057,14.515286,16.299946,8.180943,-5.2181816,-1.7316406
4,kanan,bkanan3,-85.5609,87.57338,-5.605642,13.383974,-4.6904726,24.358677,9.226887,-13.022869,16.125252,12.783454,3.7415195,-4.7606907,-0.7029811
5,kanan,bkanan3,-100.447845,87.510544,1.5352588,16.239454,-5.692404,28.913013,6.094944,-11.08444,12.974421,16.971395,4.568718,-1.162396,4.5111027
6,kanan,bkanan3,-162.20955,89.36325,3.7053492,37.763832,18.03798,19.246075,-2.2392497,2.376914,11.169459,20.544325,8.07477,-7.00487,-3.1251616
7,kanan,bkanan3,-175.76505,72.92566,6.291478,43.42914,18.68465,26.102283,4.3710194,7.465977,7.823161,19.365969,8.538622,-0.9146145,0.8596108
8,kanan,bkanan3,-140.48885,76.431946,0.9106649,32.797447,12.9602165,23.772165,7.4504957,-7.1346517,15.728622,20.759209,2.665821,-6.1977243,2.3542905
9,kanan,bkanan3,-147.49698,70.95528,5.1555815,32.23455,11.898941,29.649609,10.507709,-9.018188,26.593987,18.123745,3.5184135,-7.9670715,-2.4404528
10,kanan,bkanan3,-150.2231,71.50032,-1.601421,29.552471,15.422075,35.82219,3.4212742,-1.4524641,22.23674,20.857718,-3.0814548,-2.873953,7.758582
11,kanan,bkanan3,-171.04076,70.86176,-7.093565,31.91099,22.065285,34.97117,1.3948799,1.7463664,18.866922,16.7669,-0.45316082,2.495113,5.963257
12,kanan,bkanan3,-190.54767,67.57943,-1.1612445,40.730873,17.878147,28.919634,0.6035464,8.89114,7.551655,16.378502,0.04706669,0.93088806,8.54632
13,kanan,bkanan3,-192.52773,61.416508,-5.209017,38.758926,17.559053,21.997507,-9.986399,1.4606797,11.432501,25.278206,5.688324,1.369663,2.913249
14,kanan,bkanan3,-215.43239,54.62917,-2.2204134,26.846176,10.169546,20.445469,-2.8168983,6.480109,8.040924,16.123955,5.662196,1.5736246,2.7709455
15,kanan,bkanan3,-241.45804,50.25191,-5.4796553,16.849812,-1.8706061,13.807453,-1.2598839,4.9870806,7.0362997,9.973867,-2.52741,0.9369402,5.100317
16,kanan,bkanan3,-268.6697,42.205048,-4.579344,21.7161,3.4164407,17.001932,-5.2572937,-0.041276276,2.9977298,9.368552,1.3623774,-2.5351076,-0.32512677
17,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,kanan,bkanan3,-395.32623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
