frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,kanan,dkanan2,-377.3891,29.952469,12.124565,13.976692,7.4744215,4.276962,7.5782857,-0.70734537,-6.649193,-0.6264471,3.956687,2.4631484,-0.6412992
1,kanan,dkanan2,-194.7948,59.01862,-6.4663,-16.006577,0.70033973,17.293774,-19.961626,-16.623587,-0.80933154,4.0799294,2.133534,-14.086615,12.7526455
2,kanan,dkanan2,-141.22083,52.841072,-2.1573274,-13.15291,0.86579,27.832804,-13.374191,-12.174601,3.8567677,10.852532,2.1252384,-10.385572,15.3893175
3,kanan,dkanan2,-100.98898,86.782364,3.0339386,-5.033065,-1.6779313,30.491165,-17.393604,-0.4197466,3.1418278,8.162173,9.102192,-7.8272877,7.95493
4,kanan,dkanan2,-90.717865,84.53752,-4.85771,-6.069296,2.4271193,25.61203,-12.365616,6.1923933,0.7646848,2.9852285,4.846724,-4.7304225,6.605406
5,kanan,dkanan2,-81.2825,85.05007,-9.080931,-12.341942,9.746521,27.950548,-8.897554,5.399989,-0.024798974,-5.317274,9.285831,-5.5228076,1.0768571
6,kanan,dkanan2,-80.42834,79.92975,1.9622064,-21.829224,17.88343,22.497272,-6.7872524,6.866562,-1.1035993,-3.4223497,13.496125,-11.241644,4.899996
7,kanan,dkanan2,-81.447754,76.85158,4.2883835,-14.420251,9.011347,23.618734,-3.8183484,3.2812328,-1.1656392,-2.7398846,15.896328,-12.196415,5.4967313
8,kanan,dkanan2,-87.00601,79.531845,3.7850218,-14.970162,8.665577,26.43135,-4.26969,2.7288363,2.9859526,-3.4799368,11.144906,-10.644103,6.735135
9,kanan,dkanan2,-96.77762,85.66787,-5.9691024,-10.149599,6.856338,26.50523,0.38982087,2.896468,-1.3490741,5.5480185,7.106509,-8.585087,0.30557555
10,kanan,dkanan2,-114.9803,93.40552,1.5732391,-15.909403,4.7595706,29.020336,0.07376617,0.5412691,-1.9023827,11.514269,5.9876704,-3.559559,-0.9755557
11,kanan,dkanan2,-112.49322,86.65469,-3.6245708,-12.462692,14.539643,27.87186,6.021799,-3.3082733,0.04981029,-0.3790877,11.7250185,-5.8706303,6.632121
12,kanan,dkanan2,-100.01295,69.174194,7.5059977,-9.660521,15.979353,31.784925,-7.84377,-2.3363733,10.5890045,-0.32222265,6.230766,-4.1411333,1.2266276
13,kanan,dkanan2,-123.58182,83.45685,1.995867,4.7496653,21.286995,15.56847,-3.6912022,-3.7544289,10.703932,4.878419,0.7465209,-2.278493,7.6836905
14,kanan,dkanan2,-167.89337,88.17546,11.004807,17.054474,20.835451,21.603912,-7.899199,5.202752,4.2697744,-0.77254647,5.8059464,-12.263714,9.730373
15,kanan,dkanan2,-145.29628,85.80756,14.991341,16.39943,14.893339,20.837914,-14.536369,-7.0929823,9.471432,-1.254368,5.5166655,-7.597342,10.830528
16,kanan,dkanan2,-102.163506,77.48364,11.96961,-1.5871058,10.150871,29.742115,-13.174391,-3.7955484,14.443365,0.9536576,3.8380394,-6.029216,9.522564
17,kanan,dkanan2,-94.78394,79.7791,12.293251,-9.702375,17.435009,24.280262,-0.89343953,-10.224554,9.583141,1.9447291,3.0988016,2.4665601,0.75686604
18,kanan,dkanan2,-102.99789,79.26103,13.667702,-8.1518955,17.69778,23.32883,5.2210503,-11.025623,6.8581867,4.062522,-0.019681409,3.9607847,2.2154362
19,kanan,dkanan2,-98.24213,70.11975,14.633527,-2.858172,18.263264,22.593449,-8.670835,-7.439128,13.133767,2.0831022,4.449755,-0.9159237,3.5055528
20,kanan,dkanan2,-106.85992,71.31388,6.495615,6.2634726,22.39777,14.86051,-16.301716,0.27059814,17.408169,-0.34186363,4.678099,-4.0064507,4.8049645
21,kanan,dkanan2,-164.92499,79.03714,9.575965,27.703371,30.803848,8.161552,-12.673109,4.199809,5.4941716,2.007945,-2.4756455,-17.7636,10.165268
22,kanan,dkanan2,-184.55093,81.86804,13.778998,30.980583,27.105373,11.376486,-14.757758,7.7023168,2.9940844,6.916217,3.083085,-19.768486,9.454643
23,kanan,dkanan2,-197.28212,84.70424,16.626835,27.006468,25.147865,4.356733,-8.026806,6.996295,6.248021,6.0886703,4.570465,-17.96334,11.258116
24,kanan,dkanan2,-223.65741,78.28017,15.547659,35.5841,37.534256,12.79479,-9.048918,3.9735694,10.7792635,10.910883,3.5191019,-12.302286,8.911248
25,kanan,dkanan2,-234.91368,76.05089,24.775745,43.42337,39.433033,12.622138,-14.09499,2.831685,17.20903,11.372215,-2.3866498,-13.001768,8.19928
26,kanan,dkanan2,-241.057,82.91716,39.87967,47.66709,38.788383,17.167072,-7.767482,-2.2314086,7.930423,6.373803,-4.032883,-11.188567,4.2505436
27,kanan,dkanan2,-235.24045,64.181946,35.67566,47.773212,39.726387,30.604885,2.594801,0.018641934,12.261268,6.3866806,-1.1680446,-6.1012077,0.72791004
28,kanan,dkanan2,-223.28668,45.112007,42.082947,40.62304,30.487328,33.144665,7.4291525,3.2391515,11.650108,2.027428,4.1329904,3.779057,7.1045666
29,kanan,dkanan2,-205.65079,46.909904,45.5063,39.35903,25.694904,31.643717,14.580332,2.2303226,-0.008612752,5.201964,-4.155489,-5.229885,4.2718096
30,kanan,dkanan2,-203.7346,62.072506,61.004097,46.029915,19.405115,15.322714,-8.752778,-9.32901,0.64988714,-3.5348184,-1.8507123,-6.891375,-0.95501757
31,kanan,dkanan2,-254.39377,33.016983,33.99801,35.79053,17.192333,10.267296,6.739258,2.1952667,3.6049094,2.5546224,3.3628182,1.181178,4.609826
