frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,kanan,kanan12,-410.20786,24.688751,14.859107,4.71359,-3.1442447,-8.901226,-13.215981,-15.771137,-14.948722,-9.772576,-2.6786823,1.8851235,2.052793
1,kanan,kanan12,-173.22148,12.8157215,-24.70211,-33.24308,12.9310255,21.162418,-24.810211,-19.148018,6.3526993,-5.5931597,3.1945794,-2.3038294,3.1279736
2,kanan,kanan12,-177.23318,27.060266,-8.473573,-21.85278,5.5237355,14.718313,-13.754023,-14.337532,4.320059,3.960483,8.899428,-3.0623918,8.2147045
3,kanan,kanan12,-123.4487,90.371826,-6.9282656,-12.227488,3.270638,22.058493,-13.312461,-0.41227636,7.0209465,-8.780823,16.200989,-3.6008384,-2.7368271
4,kanan,kanan12,-104.81985,95.582535,-18.5582,-17.033659,-4.0671515,22.643105,-17.97849,-0.46622372,11.767976,-12.457878,18.262396,-7.569458,-8.392264
5,kanan,kanan12,-96.55945,87.57504,-17.586033,-19.274532,-0.5425769,19.440722,-17.446514,2.332649,14.071135,-13.308931,15.677262,-9.641081,-6.864907
6,kanan,kanan12,-87.08339,81.323204,-16.95016,-17.752327,-3.998466,17.234726,-13.887585,-4.78584,18.50631,-13.834059,11.961128,-7.9468923,-5.8095202
7,kanan,kanan12,-87.9304,75.879776,-17.56041,-6.545759,-1.4018646,9.679775,-8.379254,-7.021289,22.212711,-13.802853,12.366598,-10.85155,0.8981594
8,kanan,kanan12,-126.3947,78.21214,-6.0624027,21.142767,17.053402,0.13063836,3.6865802,-10.215715,13.526674,-4.5447764,8.896683,-12.884409,10.471739
9,kanan,kanan12,-135.59503,75.65403,13.65299,30.363914,12.909605,7.4215508,7.2492332,-10.108815,-4.150616,-7.947241,9.566174,-15.203284,7.821063
10,kanan,kanan12,-124.63143,76.36286,5.038798,27.342602,11.416513,10.8163395,9.409463,-14.735495,-1.9397136,-8.608484,10.595499,-9.694372,3.9640307
11,kanan,kanan12,-85.14917,80.97153,-22.185638,0.15045974,1.4673102,12.241602,0.4564974,-13.046827,23.87113,-12.283821,12.843421,-12.352982,0.48756003
12,kanan,kanan12,-77.47946,76.62454,-19.843472,-4.4157763,1.3091625,13.055596,3.5986407,-12.07515,21.646545,-8.715841,11.25988,-12.706588,-3.1436481
13,kanan,kanan12,-77.4051,77.16222,-19.12831,-4.4311204,2.122592,15.007197,0.5042454,-10.23899,20.511684,-8.338438,12.356823,-9.093995,-8.494689
14,kanan,kanan12,-79.01767,75.15993,-17.286396,-4.240689,4.5559263,12.576885,2.2041087,-12.8319845,23.501348,-11.192914,14.716331,-11.746185,-5.0962167
15,kanan,kanan12,-81.164215,72.575,-15.171473,-4.1648526,4.78124,14.078974,-2.7354794,-9.78417,22.599594,-9.047796,9.302942,-9.689808,-2.0267496
16,kanan,kanan12,-91.290016,78.49127,-18.47099,10.35104,5.0117936,11.150397,-3.3420906,-6.9374137,20.536894,-14.213279,13.919869,-10.663651,7.7375813
17,kanan,kanan12,-148.10544,83.43495,9.5699005,25.379776,19.163425,-0.5806649,12.037741,-13.795154,5.9947386,-11.254436,12.722767,-11.220491,10.063679
18,kanan,kanan12,-172.98357,74.350975,18.703321,23.36819,30.131725,1.5385008,12.737896,-6.2608576,-0.25454628,-18.638477,10.24983,-6.0078773,17.055685
19,kanan,kanan12,-212.11412,59.91874,28.472614,31.306843,26.272211,-1.021236,21.786077,4.367702,-5.751757,-17.164474,2.6656713,-5.1158266,23.629875
20,kanan,kanan12,-296.14807,49.220314,37.778206,47.5687,33.762894,-0.85247916,19.063295,17.680931,2.1172225,-9.104688,-6.1142797,-4.8419957,25.414265
21,kanan,kanan12,-382.73788,40.088814,40.478218,37.91297,30.85508,7.0988016,11.588925,3.383318,-1.3293263,-0.44205928,-1.3455741,0.78838146,5.3079553
22,kanan,kanan12,-427.236,4.817362,4.690014,4.4845114,4.210538,3.880772,3.5100527,3.1144922,2.710453,2.31356,1.9377873,1.5946846,1.2927644
23,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
24,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
25,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
26,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
27,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
28,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
29,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
30,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
31,kanan,kanan12,-430.67285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
