frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,kiri,bkiri5,-213.19405,19.485771,4.6826024,29.505161,-15.717428,4.052974,4.216566,-8.147856,-9.136143,8.4672785,-1.3336188,-4.9533854,-5.1697607
1,kiri,bkiri5,-177.94783,45.3562,5.3143387,45.632576,7.6150627,8.091828,15.062222,0.41925505,0.8983532,12.534815,9.903372,-1.9282112,-1.7341907
2,kiri,bkiri5,-133.56924,71.769485,25.855278,63.719902,-1.056638,3.8712416,16.722881,-11.349188,-5.2162905,2.4062548,9.293148,-5.4813437,-5.0029354
3,kiri,bkiri5,-129.17238,64.71867,25.536085,63.974987,-2.3834555,3.658709,20.875908,-5.6255555,-1.0457978,-2.1521914,12.081682,-11.377341,-5.3825083
4,kiri,bkiri5,-135.7254,61.05385,21.717257,68.63424,6.345888,1.1823374,7.737999,-1.7857256,1.7709153,5.5213003,14.162699,-7.6223397,-5.478072
5,kiri,bkiri5,-135.35934,63.207138,20.87722,62.522278,11.441089,-3.4871807,8.578873,4.5475755,-2.1544456,1.7945347,16.517847,-5.3918753,-4.6799545
6,kiri,bkiri5,-173.50432,66.246,9.069784,49.38949,18.693275,21.872196,5.1855874,-0.87514365,-1.0053077,13.443098,3.0521035,2.1743999,-0.57756233
7,kiri,bkiri5,-149.92818,55.755867,-6.8892064,46.288765,19.623556,14.582884,7.0185223,-3.5354218,-0.0501101,8.041052,3.8538084,-2.2996926,-1.8037068
8,kiri,bkiri5,-149.52695,56.08824,13.053148,63.691223,15.247435,6.77834,17.800407,0.95221657,2.0507133,8.839151,7.973237,-11.980202,-3.8776991
9,kiri,bkiri5,-141.0869,66.27023,20.656404,62.891518,8.882097,10.729288,9.07153,-3.2869718,-5.742602,5.005674,9.011934,-7.527956,-2.700633
10,kiri,bkiri5,-147.89218,61.230545,18.45776,56.88118,9.500486,12.26202,19.323673,-1.1640913,-0.7403878,7.6583834,9.62956,-6.9394374,-2.0043955
11,kiri,bkiri5,-154.9882,54.13394,9.908144,52.39515,10.234645,10.907329,22.657112,8.134279,2.2506428,7.7128763,16.491835,-7.793843,-2.7697878
12,kiri,bkiri5,-157.89087,51.828777,0.81994224,48.28284,9.124281,11.961597,24.463602,11.131079,7.73824,16.973324,11.374964,-8.017766,1.10144
13,kiri,bkiri5,-171.24657,58.660877,-0.81106657,37.481087,10.358906,11.99086,10.031802,9.231815,13.097455,23.686985,10.707039,-6.9839816,-1.9967802
14,kiri,bkiri5,-198.48645,59.30793,2.0138013,33.743317,1.4859418,15.310827,8.445726,5.0106983,1.7808707,15.963661,4.073743,0.73441243,2.0541856
15,kiri,bkiri5,-221.11327,54.49379,0.54104066,27.362312,13.830223,24.086544,3.245297,3.5999732,-1.3264937,9.488401,1.0439084,1.2976928,1.6421598
16,kiri,bkiri5,-235.49594,56.22663,5.1798863,19.907118,8.330707,12.728918,1.7288098,1.0661292,8.471102,11.526741,0.5083442,0.7308508,-2.387138
17,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,kiri,bkiri5,-384.85364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
