frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,kiri,dkiri7,-157.08926,-7.9076867,14.858151,5.163624,-17.522272,16.608805,-5.242573,-10.581657,-2.2163465,1.7260634,-5.794608,-4.431039,9.247133
1,kiri,dkiri7,-136.76044,2.3763714,37.96141,38.44158,-5.066862,24.537003,-0.7456995,1.2431481,1.1337864,3.0981288,1.8940787,-5.721015,3.5249953
2,kiri,dkiri7,-115.746414,34.855156,44.302742,58.780952,-0.4972999,15.680286,9.752131,-6.5471773,-8.599916,-3.2824764,3.2186372,-17.696074,2.5916166
3,kiri,dkiri7,-98.156395,38.756294,37.444405,51.273136,-1.3527071,13.615348,11.384384,-4.392795,-5.6601176,-4.8894043,3.4334311,-21.303493,3.036846
4,kiri,dkiri7,-107.4427,40.610596,39.804337,54.4942,-0.27295494,14.691594,8.137185,-4.030294,-0.9034704,-5.973841,0.1983372,-19.21238,4.7250576
5,kiri,dkiri7,-128.2248,51.075455,45.553413,49.72814,5.1113715,7.9892845,10.901842,0.87047505,-6.4604907,-6.308466,3.2766614,-21.590557,3.8731287
6,kiri,dkiri7,-123.19987,47.175163,41.272263,55.276764,1.3252883,10.3212595,11.012026,-3.3810844,-2.3785796,-6.58686,1.1691854,-20.819092,2.6785247
7,kiri,dkiri7,-111.05478,40.702522,40.662407,57.167458,0.00022095442,10.09257,10.884466,-6.4780893,-2.998499,-6.2054896,1.2205098,-20.701643,1.2455826
8,kiri,dkiri7,-120.68299,49.89569,36.557156,57.11393,-0.68798566,10.631084,13.656591,-7.2634716,-6.4808173,-3.256031,3.8596158,-22.789629,4.6523266
9,kiri,dkiri7,-140.22531,55.94549,43.66327,46.85339,6.2087135,13.243224,10.186451,-7.1268945,-4.7305064,-6.823481,5.965523,-16.20806,-1.1106064
10,kiri,dkiri7,-147.5576,55.01406,48.849632,47.8647,6.4573016,9.150764,8.6251335,-0.39239776,-5.551298,-7.8603497,3.595004,-16.178593,-1.523623
11,kiri,dkiri7,-139.52222,50.83159,45.27405,49.210693,6.1308193,9.074014,7.0301332,-2.7050948,-4.888653,-7.478616,7.8860073,-23.180386,1.8520219
12,kiri,dkiri7,-137.52287,53.230633,44.142574,49.084496,1.1474558,9.684425,11.392906,-0.48774815,-5.0116086,-5.999422,5.3779197,-22.6315,2.1288385
13,kiri,dkiri7,-133.53107,57.929726,36.047096,47.805305,5.8429003,12.380583,10.114835,-6.9282093,-3.4045558,-6.1903934,4.078575,-21.825825,3.5187135
14,kiri,dkiri7,-114.72663,56.932426,32.38279,46.889,3.3974228,10.052151,7.893955,-7.671061,-2.8487306,-8.853296,2.2492008,-15.198133,2.1515286
15,kiri,dkiri7,-113.02674,61.149906,37.72404,36.709114,4.081133,10.570189,1.9399948,-8.1821375,2.190318,-10.281191,2.0046616,-18.291561,7.924439
16,kiri,dkiri7,-120.10599,62.30551,35.345474,36.203712,9.026922,11.93823,-3.1046238,-6.2425947,5.325507,-10.630383,-1.0707045,-17.202871,8.366827
17,kiri,dkiri7,-125.07071,64.843346,39.706707,31.116058,8.584049,13.717413,-4.8618827,-3.645884,3.3678176,-13.475343,1.7787297,-15.996524,8.531204
18,kiri,dkiri7,-94.698265,67.75514,23.294842,28.095245,6.58191,12.613638,-5.9297166,-11.019655,8.85718,-10.190634,0.6923933,-19.283735,12.592091
19,kiri,dkiri7,-106.79043,83.59503,14.886902,20.775822,11.559461,10.240095,-2.861496,-14.542151,9.666262,-0.75104254,-8.621935,-11.491735,11.721354
20,kiri,dkiri7,-185.4483,36.010124,15.141331,25.612436,13.427524,18.362417,-6.497676,-5.0956917,6.061045,-3.9187765,-1.6646786,3.788661,2.022849
21,kiri,dkiri7,-144.79204,14.242378,3.4391794,26.934319,7.7811556,17.148403,-21.16036,-4.5559106,14.990665,-7.6314096,-2.8041258,1.34008,0.565109
22,kiri,dkiri7,-112.625946,56.18297,19.572319,40.95919,6.1266074,9.199519,6.882248,-2.203757,2.3668199,-10.454735,3.6927235,-17.518253,1.0370587
23,kiri,dkiri7,-127.103195,54.191658,33.659332,47.430435,-2.297689,12.193436,12.478844,-7.554658,3.7808845,-11.502215,4.9200296,-21.376778,1.2379777
24,kiri,dkiri7,-124.812515,48.294167,36.95006,52.869377,-2.0804741,12.536335,11.0,-9.93127,0.017014146,-8.787123,6.326685,-24.347918,3.5709722
25,kiri,dkiri7,-123.53345,47.01556,38.273087,48.64862,5.1795197,8.261169,10.529711,-6.6378818,-2.9162028,-8.663036,6.6915903,-21.479214,0.8290193
26,kiri,dkiri7,-130.70802,48.108963,41.26941,51.75757,-3.3497796,12.171274,12.089699,-7.0498223,-0.23338097,-10.003998,4.082223,-20.443409,3.3630226
27,kiri,dkiri7,-135.02243,47.55471,39.487854,51.0187,1.6637559,13.180841,12.569596,-5.58603,-4.192665,-10.464296,6.61042,-16.955631,1.6518424
28,kiri,dkiri7,-140.40987,45.384377,40.119682,52.34156,3.0896676,18.623377,6.845377,-7.4339957,-1.4605263,-9.588733,8.87999,-22.907393,3.4650836
29,kiri,dkiri7,-156.93837,48.189114,45.29601,57.72194,3.655977,4.1939626,11.309399,-5.392926,-4.2526402,-9.36644,8.730085,-20.648159,4.220102
30,kiri,dkiri7,-162.62073,46.65147,49.98411,53.177547,-3.9608226,14.429283,8.325867,-6.8840938,-3.0749245,-3.7233927,8.994143,-19.907389,4.5639114
31,kiri,dkiri7,-171.72214,45.925247,44.45371,56.46191,3.0782776,13.086004,9.540454,-0.5137389,-6.4744143,-3.3611908,8.607197,-21.705837,1.1707822
