frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,kiri,kiri26,-273.07236,-16.52305,13.759811,8.414076,-3.7336426,17.306183,13.254628,-16.572643,7.8968415,3.4419072,-7.756149,3.0499907,2.6926029
1,kiri,kiri26,-162.69934,-4.8094177,44.65726,17.697887,-4.265882,16.587234,11.370342,-17.862549,4.506129,2.8703167,-10.880113,-5.2900305,0.31367934
2,kiri,kiri26,-126.00087,46.81077,61.03295,39.485847,2.9776506,-1.4889593,17.172077,-5.4606857,-5.4898424,-6.440089,-10.555163,-4.377924,-10.866469
3,kiri,kiri26,-120.9497,47.563637,68.34152,31.797821,2.549471,1.7131977,17.249231,-9.446562,-6.3740015,-6.77218,-10.807774,-12.204419,-5.220324
4,kiri,kiri26,-125.01581,48.97873,65.28489,39.386017,-5.1911564,2.4635327,20.244205,-5.602669,-11.195738,-10.780874,-6.8808413,-11.98671,-3.4467678
5,kiri,kiri26,-132.10678,52.823303,58.50585,33.144684,9.637951,1.4951913,15.297239,-4.426173,-7.9357615,-11.171626,-8.505417,-11.77757,0.9223956
6,kiri,kiri26,-135.77594,60.10469,65.70642,23.988436,-1.4686303,11.769482,23.912432,-18.436987,-7.9376717,1.0508043,-10.501608,-19.159384,-6.208744
7,kiri,kiri26,-115.165955,62.27507,47.439655,31.17278,-2.83279,3.396823,17.067745,-7.5480366,-4.1294756,-12.9385805,-7.280159,-11.582947,-5.4929256
8,kiri,kiri26,-97.72688,62.706345,29.640467,35.490883,4.1143737,-11.035616,13.083143,-2.796872,-2.5795703,-11.46899,-5.192755,-7.6386833,-5.7546124
9,kiri,kiri26,-99.776306,66.13498,18.630074,33.288982,13.797405,-7.271721,6.8375535,-4.978427,6.9759254,-10.015139,-14.64204,-3.096887,-0.07910091
10,kiri,kiri26,-120.0883,40.839478,13.041761,36.344643,7.264735,-2.9262323,-2.823306,-2.0423913,19.470911,-10.608852,-14.310516,3.3938801,4.084267
11,kiri,kiri26,-110.59361,73.078064,19.536299,33.57074,13.901516,-4.403431,4.4271507,-6.043353,12.641769,-15.647153,-14.331749,-0.77532196,-1.7525113
12,kiri,kiri26,-106.29803,58.815887,34.487373,43.76123,8.372977,-4.5672455,2.879295,-10.963955,-1.1099257,-5.2766314,-1.3549035,-9.603912,-3.053844
13,kiri,kiri26,-119.56644,51.907646,51.448334,45.55444,6.796433,-7.4138007,14.673188,-14.38193,-1.4784873,-5.501857,-15.6899805,-5.8054185,-0.6184372
14,kiri,kiri26,-133.83565,50.030117,63.056446,47.86763,-5.4297094,-2.5150337,22.580223,-11.3764515,-13.347424,-5.9839516,-10.775575,-6.1306124,-1.483749
15,kiri,kiri26,-127.65575,51.096687,55.594406,44.795853,1.9079592,-2.5319965,12.956072,-8.592409,-5.4484997,-8.137291,-9.888079,-8.83032,-2.6516347
16,kiri,kiri26,-136.02483,52.42206,68.82466,39.286522,-0.4242797,-1.9542571,6.3489857,-13.253494,2.5504375,1.3097078,-1.9004607,-22.373417,-10.249481
17,kiri,kiri26,-141.99406,51.056328,57.454956,40.303497,0.7232255,-2.1972208,17.741673,-4.660142,-5.729132,-1.8530178,-1.7275391,-7.5056357,-5.8380117
18,kiri,kiri26,-150.7204,55.077156,65.37897,40.22725,-3.416336,-0.90699923,19.617142,-7.3272657,-9.423014,-5.521845,-11.298645,-11.770356,-3.0983925
19,kiri,kiri26,-153.91501,36.081314,60.937813,43.92852,-1.4026432,2.9276319,11.437368,-9.654761,-6.6608953,-4.0954013,-3.8309305,-12.558392,-8.825948
20,kiri,kiri26,-163.46576,33.752945,41.363678,33.896503,5.542295,1.060529,11.048166,-5.9033146,-0.1963011,-8.208141,-7.7273455,0.85950243,-5.2769775
21,kiri,kiri26,-215.04239,4.1311045,52.945793,47.35919,-1.7729973,18.737564,3.9144394,-7.3314743,5.4245987,-4.2280455,-8.169722,0.5122188,-5.5593357
22,kiri,kiri26,-247.6947,11.601465,19.819344,37.496952,-0.7035494,12.832788,11.764879,-8.564171,7.150552,-2.7349262,-6.762166,2.3084896,-7.1825814
23,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,kiri,kiri26,-384.62415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
