frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,lambat,blambat4,-241.48024,49.706352,-1.8013357,9.467602,-0.62058836,13.017831,-1.8175485,1.943446,1.6801087,7.205698,6.8621254,-2.7685857,-5.4656324
1,lambat,blambat4,-204.00285,57.878143,-1.5314497,17.275496,-0.68443877,13.976479,8.005838,-2.5824668,3.629505,8.83596,1.7829148,-0.7135017,2.852101
2,lambat,blambat4,-166.11191,85.43039,19.43769,25.72486,8.863749,19.3483,6.2849865,0.79441655,7.289806,2.9281554,5.0130463,1.5212555,-4.3915777
3,lambat,blambat4,-106.687225,96.00626,1.9240859,11.858118,-5.7452765,21.64257,0.05576451,2.0313683,13.818312,3.6086426,15.08606,-7.099948,-1.8207048
4,lambat,blambat4,-89.34615,95.87747,-2.896703,12.898796,-12.330611,23.445377,2.1592185,-0.28505063,11.072694,7.1710443,13.056496,-6.8120246,4.6455083
5,lambat,blambat4,-115.7957,108.902115,2.6728892,15.286661,-10.403177,22.067846,2.5097084,2.2506351,6.5029573,7.3754473,4.983743,-0.9300096,2.5732307
6,lambat,blambat4,-144.56761,86.73448,2.609896,31.978733,13.702286,25.448946,7.851419,11.046225,2.5252247,2.7624905,-3.304272,-7.886768,-8.330484
7,lambat,blambat4,-156.84926,87.53198,6.4221425,36.418625,12.34721,21.29586,5.2099824,12.479437,10.7216015,7.523343,-8.363438,-7.835797,-6.613643
8,lambat,blambat4,-159.25854,85.14926,9.7226715,37.064316,9.009617,24.850592,8.810617,5.5881243,6.2492957,6.4145327,-1.9278791,-3.4129539,-10.616359
9,lambat,blambat4,-168.83629,82.68227,12.716726,42.275475,14.783398,27.401035,4.41329,6.631234,-0.42563725,5.7139482,-1.1982464,-2.9944897,-13.735693
10,lambat,blambat4,-172.4301,81.65982,15.205515,44.28981,13.302328,25.006458,2.4074416,7.9732976,1.0758945,7.2806473,-3.9007215,-5.372837,-3.74457
11,lambat,blambat4,-123.94998,88.51387,5.126753,25.46946,1.5433514,7.2329226,1.1325743,6.810364,-0.5792897,7.6620393,9.034521,-0.5906527,1.3940752
12,lambat,blambat4,-108.35487,95.061195,-9.357657,20.103397,2.696588,17.354393,-6.3642426,5.172231,7.959784,18.493256,11.49274,-14.101492,2.8409357
13,lambat,blambat4,-118.03497,92.24484,0.5699954,32.20574,-3.415823,14.420553,-6.1008697,3.3709736,4.885251,16.11596,8.832842,-7.4209375,0.6887857
14,lambat,blambat4,-162.18025,66.16286,6.185509,29.794323,7.8029575,13.84922,6.440939,7.8242702,11.085222,11.938778,-2.880451,-4.352375,0.1192783
15,lambat,blambat4,-206.83824,61.77292,2.4855318,27.654387,2.3473287,19.031425,-1.0970509,2.1744761,-0.61107165,9.012536,1.6416126,8.458487,4.43207
16,lambat,blambat4,-212.49771,55.278545,-0.072889835,31.40805,11.643192,28.045162,4.747123,4.0832767,3.6299615,9.345476,-2.782886,-0.18477333,-3.577057
17,lambat,blambat4,-251.25536,43.22409,2.4009643,29.832684,1.6906798,13.944545,5.70488,16.260305,2.8533983,8.749756,6.859436,10.256984,2.0432503
18,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,lambat,blambat4,-397.95718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
