frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,lambat,dlambat5,-324.34433,56.105824,19.426826,7.9277916,19.90162,17.451061,8.31563,-11.267748,-2.7244182,7.410685,4.304594,-6.405248,3.210984
1,lambat,dlambat5,-223.83875,81.75075,44.986816,11.687739,3.7771108,38.29122,-3.257371,-29.860264,2.55601,6.796708,0.20329037,-9.893794,9.549882
2,lambat,dlambat5,-160.65294,83.830154,32.15765,10.595512,-6.137438,30.656738,7.5117655,-32.987717,1.7731631,5.3907228,2.5762126,-12.964819,9.641726
3,lambat,dlambat5,-100.00232,81.68653,18.8107,-3.2573626,-14.432887,19.772938,2.457333,-13.934656,7.0995483,18.21401,-1.745487,-8.375715,8.546156
4,lambat,dlambat5,-90.42276,92.48342,8.20008,-15.194073,-9.810292,20.22181,4.8974934,-14.147431,8.659319,16.488834,-4.1822734,-4.210252,3.1525795
5,lambat,dlambat5,-92.104095,91.81462,13.730236,-15.596096,-13.467927,19.697678,5.375331,-11.5190735,5.3594284,12.084047,4.0915027,-6.592972,0.12093741
6,lambat,dlambat5,-87.875916,86.193146,5.508683,-10.301095,-13.258926,22.389263,8.434359,-16.451797,9.289682,9.46537,4.3829355,-8.276983,9.365095
7,lambat,dlambat5,-112.02086,98.08107,11.989426,-13.213297,-10.4291115,24.514687,7.1863627,-13.301814,10.829124,-0.9603082,4.0527544,-2.496454,4.747979
8,lambat,dlambat5,-162.74998,95.13124,11.86434,11.919615,9.424847,16.746746,10.982947,-12.276692,9.872818,-2.3958743,-3.505333,-3.8419478,0.19172177
9,lambat,dlambat5,-173.79593,98.11916,11.757122,9.231724,12.76263,15.106529,13.688118,-9.800106,12.7177925,-4.6765914,-7.531537,-5.262539,0.012307644
10,lambat,dlambat5,-182.41736,86.969345,7.761442,20.312323,4.9309483,21.790852,17.160143,-9.755989,22.407244,-7.1288576,-6.227693,-9.252707,0.61830235
11,lambat,dlambat5,-189.91335,83.35622,10.35079,17.377037,6.51911,28.679436,14.521719,-10.572407,20.100689,-2.7340636,-10.8584795,-8.026583,0.13447952
12,lambat,dlambat5,-211.33688,87.16586,8.38871,21.242702,6.479064,24.196579,12.370878,-5.884159,20.410519,0.6912056,-10.236854,-6.5557995,1.6001264
13,lambat,dlambat5,-221.91077,89.566605,17.24255,12.227682,7.7094684,24.070366,9.745098,-9.558971,23.173597,3.4754016,-15.691872,-10.702909,2.2731576
14,lambat,dlambat5,-204.5723,94.805466,14.913519,15.435434,10.825453,25.316656,15.467309,-8.863037,20.744865,1.1040385,-12.808129,-7.6927457,3.344872
15,lambat,dlambat5,-211.44724,92.617645,20.0201,11.624542,12.477701,37.0867,17.01796,-14.073019,8.358855,-1.8249292,-11.050242,-8.340557,3.6693358
16,lambat,dlambat5,-251.79878,81.89705,37.237953,14.806068,17.243605,26.495033,5.655502,-5.735013,4.8208647,1.9868401,-7.3534536,-1.4995595,2.3693967
17,lambat,dlambat5,-98.87984,86.39717,17.728664,-6.227847,-12.489975,26.330769,6.231472,-21.59896,6.622221,10.922552,6.0385313,-9.020695,12.04936
18,lambat,dlambat5,-91.75366,89.19153,7.285701,-5.207365,-13.253656,23.124556,2.2630928,-21.187572,11.409227,13.895142,3.8790486,-15.809984,12.623003
19,lambat,dlambat5,-89.09598,81.62806,9.909203,-5.3729544,-7.2733107,19.696007,-6.165415,-11.6119995,10.871371,13.651285,-1.7898698,-10.6970625,10.19803
20,lambat,dlambat5,-113.95021,74.057396,10.202976,5.019865,6.2605505,11.853379,-7.7612514,-10.649912,13.012657,4.5047884,-1.0886359,-8.436706,17.193188
21,lambat,dlambat5,-215.72234,80.43523,3.0309114,10.263639,5.3564363,10.687817,-6.634683,3.021153,14.927562,2.6932168,-1.6281266,-0.100666404,4.619604
22,lambat,dlambat5,-257.44525,75.76186,8.939358,-3.2106266,0.464126,7.4995613,-9.566402,-1.1972739,8.304039,0.47488153,-0.13744554,-3.402734,10.754303
23,lambat,dlambat5,-297.7745,55.484215,2.4607944,-0.38471717,-1.5938647,-2.9012375,-3.3118439,0.7693372,1.6340747,-1.8223164,-4.854851,-0.7124871,2.2445376
24,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
25,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
26,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
27,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
28,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
29,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
30,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
31,lambat,dlambat5,-442.98685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0
