frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,lambat,lambat23,-385.92496,9.430108,6.8956394,6.8138638,6.3920946,5.668067,3.2119012,1.4073454,3.4972587,3.7293823,0.8685176,-0.775092,-1.6922525
1,lambat,lambat23,-305.86203,36.772762,31.254837,6.480915,6.5762453,-0.937994,17.911572,0.21987286,6.8807287,0.5336695,-1.1744285,6.599986,-2.8930516
2,lambat,lambat23,-139.9775,95.67589,33.76327,1.9813428,-2.6937554,7.856477,22.28375,-17.70648,-0.040189743,12.658796,-5.278796,-4.9299574,5.539766
3,lambat,lambat23,-135.48645,104.42061,21.29388,11.30773,2.3186426,-3.7312112,19.022808,-10.643713,-7.361679,4.1075664,-3.698577,-0.6279364,-2.85261
4,lambat,lambat23,-130.1807,97.22595,22.619637,6.1959767,-0.5160918,2.9015565,20.239029,-10.190109,-6.4249434,-1.0928224,-2.6762154,7.361525,-0.95939827
5,lambat,lambat23,-95.78092,87.651276,15.923276,-6.9583893,-8.964308,3.3175464,12.537668,-7.1056657,0.61864996,4.180683,3.5462954,9.166855,-6.821962
6,lambat,lambat23,-89.1277,88.37752,10.672638,-14.561329,-13.9322605,8.039104,13.989922,1.6512351,-0.14564827,14.747711,-1.7304101,3.0409803,-13.494284
7,lambat,lambat23,-89.69387,85.06656,7.8115606,-11.339859,-1.5528276,7.350197,7.5359454,2.6342354,4.007337,18.276262,-11.306343,3.1704273,-10.272261
8,lambat,lambat23,-83.8194,80.21678,3.6374178,-6.655604,2.3583233,13.074408,13.23789,-1.288228,0.447325,12.279239,-13.028524,12.758167,-14.745744
9,lambat,lambat23,-99.48197,92.72232,10.6026745,-5.4190397,0.70183986,1.6685488,16.98447,-1.0186875,-1.9493988,3.0444093,-3.378896,7.079316,-8.877739
10,lambat,lambat23,-123.75271,91.791214,22.852932,4.617708,12.636915,-4.079351,21.134655,6.4919534,-1.7073674,-3.0258596,-8.418625,-8.963636,-3.539294
11,lambat,lambat23,-134.48706,89.29111,24.34787,10.191313,16.967749,-3.3655863,25.186852,6.624374,6.2651215,-6.381713,-15.889146,-15.710442,0.17365873
12,lambat,lambat23,-138.48747,79.89993,32.140553,9.222528,19.355696,-0.04505056,27.908684,12.730259,3.8970785,-9.949289,-17.298895,-24.566565,7.6188583
13,lambat,lambat23,-158.16577,79.73439,35.654247,19.826904,19.59019,1.1730533,33.111977,10.887445,2.2852612,-12.670518,-21.65318,-24.7052,6.8739114
14,lambat,lambat23,-205.92392,66.19504,28.77716,35.982574,28.56073,12.5409775,32.827835,1.2469018,-4.5445957,-16.674213,-11.845551,-18.366482,8.821892
15,lambat,lambat23,-140.96513,102.00357,37.241257,-0.93310606,-12.723529,-0.618446,25.57818,-6.479995,-2.5196886,-12.23345,-2.7606204,4.6424556,-1.1450341
16,lambat,lambat23,-96.08722,82.40953,23.436628,-16.980827,-8.799833,7.703956,21.278305,-15.791966,9.219646,5.574255,2.5932968,2.569713,-7.6672964
17,lambat,lambat23,-82.444466,74.52544,16.554314,-11.593845,-8.183728,1.6971319,20.801514,-9.732619,2.4031801,10.785791,2.495852,3.4275413,-8.400513
18,lambat,lambat23,-87.133484,75.68791,10.775066,-11.729231,-7.286028,-0.93089384,18.920893,2.293929,10.605237,8.466607,-4.836238,-3.2115314,-19.907536
19,lambat,lambat23,-79.28809,82.19258,9.134259,-11.518103,-12.205788,-2.0614238,11.89175,2.7614646,6.830574,13.13735,-9.275744,-5.836383,-9.159468
20,lambat,lambat23,-79.222374,79.37923,15.467913,-14.211124,-14.453602,7.409152,6.9327183,-2.7341237,2.1226592,14.047799,-4.2704644,-10.459114,-5.7166996
21,lambat,lambat23,-88.939804,79.98299,18.364845,-9.694023,-0.46530145,-1.5223565,1.5699817,3.3506155,1.6371229,10.237009,4.5311975,-11.010859,-2.8771167
22,lambat,lambat23,-150.77583,65.94353,14.092501,-10.277538,-6.9538336,-12.340645,-3.2550538,-2.062287,6.33825,4.8546963,0.7915319,-10.364653,-12.56924
23,lambat,lambat23,-206.64627,56.801323,8.319412,-10.654849,-6.457858,-11.832165,10.018805,6.9493685,7.85563,11.452449,-0.79832375,-12.155886,-5.062602
24,lambat,lambat23,-263.03415,49.54705,-1.8981849,-13.030242,-7.3759766,-7.5255866,-1.3347785,4.110707,15.0132,15.811218,3.9749622,-11.093988,-8.099481
25,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,lambat,lambat23,-394.35562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
