frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,lepas,blambat5,-223.1662,51.649136,-11.309692,11.912586,-4.8537536,11.893584,-7.7913055,-5.073449,5.2333407,11.074613,6.159952,-4.0240645,-3.6079612
1,lepas,blambat5,-187.40709,56.92188,-11.454595,21.48448,-0.81845057,11.006014,-4.961468,3.7745938,1.6668541,18.32772,3.3372445,-5.4963226,2.1527374
2,lepas,blambat5,-131.19589,68.66836,4.2554417,32.706276,1.9348621,16.601841,-4.6973763,4.2010455,7.448232,24.01989,10.754977,-3.7801642,2.9430735
3,lepas,blambat5,-160.9043,80.853935,7.8728213,36.953598,3.3980963,23.133116,-0.5680159,10.5133705,12.644129,12.924637,1.4017844,-3.3356025,-1.3089532
4,lepas,blambat5,-197.78058,60.393185,3.0137765,29.542883,8.03101,20.705647,0.34371102,6.4470015,2.624834,13.443304,2.6712942,5.69792,-2.162635
5,lepas,blambat5,-215.42722,49.928337,0.7405029,23.108486,-2.2893467,19.192379,-2.5607026,1.38134,-0.8397386,6.0877237,-0.7670717,3.749443,3.0793378
6,lepas,blambat5,-217.7112,49.57231,-4.625536,25.413422,-1.4516565,18.838331,2.434245,0.38389164,-1.4663858,6.641701,-1.8446991,-0.76094973,-0.64560723
7,lepas,blambat5,-223.3316,44.433937,-7.4187803,20.855793,-2.7012374,15.384218,-0.18426186,7.8572845,-0.1968295,7.8591824,4.432933,4.641466,1.2661936
8,lepas,blambat5,-179.85309,54.307632,-0.18658963,8.967837,-2.4988756,1.3438685,-4.004255,2.2694435,-0.044732094,6.4553437,2.3715544,1.0963444,-0.5235256
9,lepas,blambat5,-144.28857,88.2325,11.467617,24.45124,-10.555279,2.994073,6.3755155,6.234105,3.7026503,6.8682485,12.226743,3.4478655,-3.346983
10,lepas,blambat5,-104.855804,101.48032,8.117016,16.207823,-13.71539,19.019175,4.864776,0.9862727,7.753817,8.0975685,14.3370075,-2.7179668,-4.210811
11,lepas,blambat5,-103.88444,87.744736,-2.5162635,26.0164,3.6126869,19.867596,2.4314847,1.8040955,11.531201,13.555084,11.106287,-11.685427,-6.376128
12,lepas,blambat5,-107.472786,74.56677,-3.4880543,30.273777,10.43844,23.296099,-5.0267267,3.1941977,18.506462,15.176266,10.073885,-5.623312,4.8997884
13,lepas,blambat5,-114.51158,74.49121,5.4072423,35.164375,8.3383465,17.206896,-5.2280827,9.858824,17.134422,9.500246,7.721021,-15.634842,1.8077575
14,lepas,blambat5,-124.57965,41.012474,16.020239,24.633663,11.088981,17.22512,-0.9167673,14.661934,14.9887295,8.5619545,0.6950756,-4.3027782,-0.15889716
15,lepas,blambat5,-128.95659,-7.0479813,28.287346,15.137144,-0.38829994,22.457975,-0.002579093,12.277633,6.982673,4.5310917,1.3574102,-4.1178412,0.37150463
16,lepas,blambat5,-142.52702,-7.344161,31.69352,6.1172104,6.9807167,23.75053,-2.5090494,10.450895,5.900899,8.020962,5.985024,-5.881772,2.22465
17,lepas,blambat5,-143.5415,-10.189908,28.475117,4.45859,5.176197,19.515446,-0.6938635,4.7271185,5.483499,11.411899,1.425751,-1.365408,-3.121039
18,lepas,blambat5,-141.74457,-6.1073294,23.471767,-1.0446092,7.1365385,20.816555,1.555369,5.7748585,5.4618096,10.078966,4.1207237,-4.9261885,-1.903939
19,lepas,blambat5,-143.72603,-2.6443439,19.369102,2.8687053,5.126542,7.641018,-5.674576,8.848673,5.232638,2.1876228,-1.7456052,-4.2510257,-2.590231
20,lepas,blambat5,-178.47633,-5.4291143,14.121326,-1.561244,0.62434804,14.86091,-1.2855707,9.639042,-5.8523817,-1.4294775,0.50706565,2.7972648,4.926151
21,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,lepas,blambat5,-388.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
