frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,lepas,dlepas10,-330.921,33.071106,14.451668,-4.287973,8.030589,9.145038,-4.886886,-0.12051505,5.226452,-4.5790443,5.2672205,-0.26974982,-1.7481364
1,lepas,dlepas10,-213.89645,75.02562,37.04656,23.871925,18.719448,15.798264,-13.515516,-12.206289,1.2829412,3.175932,-0.118603826,-12.754397,10.447072
2,lepas,dlepas10,-174.08118,82.61974,35.878334,18.36938,23.453304,19.028711,-15.863949,-10.4455805,5.56843,-2.6439843,-2.5464785,-19.338531,3.6899815
3,lepas,dlepas10,-140.6305,81.781845,22.766827,24.5578,9.402356,12.579803,-1.7228379,-18.291264,-0.4104808,6.6906347,-9.274313,-14.056545,10.963516
4,lepas,dlepas10,-106.12279,82.61746,28.697994,2.345715,-0.25004023,19.083502,-7.9896574,-23.306252,9.603482,8.152084,-2.0666835,-10.755102,13.506692
5,lepas,dlepas10,-108.23603,85.049446,33.918087,2.0857692,-9.526588,20.115955,-4.9279585,-22.303318,4.32895,6.9725523,3.1683726,-9.487847,7.0220065
6,lepas,dlepas10,-118.234,84.92873,42.775024,-3.5768282,-10.862922,24.509354,-2.6641772,-23.893782,2.2443032,1.6948411,6.4022827,-4.002357,0.75409186
7,lepas,dlepas10,-120.19239,86.839935,40.18444,-3.4323056,-9.923994,25.89384,-2.3339295,-23.853195,0.08557844,2.0020018,8.274147,-4.763342,0.93672895
8,lepas,dlepas10,-122.77338,87.03499,39.015125,-4.527693,-10.955254,30.029675,-4.264878,-26.105385,1.4951961,0.6515994,5.915589,-3.6524057,3.950634
9,lepas,dlepas10,-122.624504,85.68351,38.14618,-5.412353,-14.908632,28.988056,-1.604037,-18.751415,-1.6212947,0.7014865,8.777262,-6.635759,5.011255
10,lepas,dlepas10,-127.236984,89.79171,33.01091,-5.5377426,-11.327672,26.33115,-1.8496357,-18.118177,-0.0021265745,-3.8436432,11.3688755,-7.781486,7.8130875
11,lepas,dlepas10,-135.35583,87.60745,36.221794,0.0054314137,-14.8751335,22.240322,3.035592,-14.097681,-2.9182699,-1.5838509,6.391533,-1.288694,5.1506047
12,lepas,dlepas10,-204.00854,82.67628,26.722591,10.5417595,0.58712137,14.40975,1.039234,-4.5266747,-1.357487,0.51608205,-1.3148426,2.7720196,0.7286341
13,lepas,dlepas10,-261.7916,71.81052,27.0481,0.5714497,-0.10957885,11.208023,-2.6792471,0.339456,-4.0884714,-5.3227286,5.627576,8.883415,1.884691
14,lepas,dlepas10,-296.2626,51.758,23.092777,2.55299,4.0857716,4.8329887,-11.638348,0.3943876,3.4649706,-8.784597,3.1215997,9.455473,0.19635296
15,lepas,dlepas10,-323.5204,39.747154,23.694897,4.49171,0.8337684,-3.7901177,-11.880521,8.242202,-0.88181865,-10.77593,9.642876,7.00791,-5.5520077
16,lepas,dlepas10,-146.15747,99.65896,28.218721,-19.787266,-19.336687,21.883224,2.197116,-7.711021,1.1004877,2.606624,5.6420064,-2.0448062,2.9412117
17,lepas,dlepas10,-104.75249,90.69298,12.040428,-11.830538,-8.794603,21.170946,1.7329452,-2.7267253,3.8245401,5.5593834,6.611105,-8.019953,2.625019
18,lepas,dlepas10,-87.51829,86.28626,4.8534703,-10.987549,-1.6040059,19.16514,-0.3496523,-2.8089874,5.9348164,11.17923,7.213436,-13.35964,6.1440086
19,lepas,dlepas10,-80.15014,71.383514,-1.3940327,-3.2466283,-3.4119613,13.514479,-3.1241283,-1.9069464,12.340562,6.5256147,4.920968,-14.755051,13.886138
20,lepas,dlepas10,-114.506714,63.92585,11.751063,4.011348,2.2182276,11.581828,-2.820674,-1.3887973,6.0885096,12.513501,-3.6974058,-7.498478,16.815937
21,lepas,dlepas10,-154.26479,56.365532,10.614094,9.096628,7.1052847,16.770287,-9.010836,3.1365192,13.020646,3.9599223,-5.0126348,-2.110809,14.807323
22,lepas,dlepas10,-126.98295,5.332219,8.610013,-1.0049638,-10.153164,8.491247,-4.4189267,2.3104951,5.8340263,5.002587,6.1833878,-0.41041657,6.5358396
23,lepas,dlepas10,-138.45087,-15.818223,-4.2787533,-4.721569,-3.9968178,6.84554,-3.2335248,1.6836369,4.9571323,-4.152895,-2.4282746,-1.6717588,5.1199293
24,lepas,dlepas10,-148.78557,-18.853699,-5.229596,-11.598304,-6.5776315,9.208654,-6.104724,2.1352103,3.5688117,-4.1675463,-0.7596386,-2.00727,3.1027207
25,lepas,dlepas10,-164.84373,-29.016375,-5.3836193,-10.117798,-9.778659,8.753776,-7.9915724,0.30084062,-3.3036034,-6.099043,-5.725065,-3.6192417,7.2463923
26,lepas,dlepas10,-176.48795,-27.86652,-4.689636,-14.52792,-11.829119,0.9803506,-13.433065,0.5964161,-2.612408,-7.518826,-8.77308,-3.7002327,5.831399
27,lepas,dlepas10,-181.86919,-18.646345,-5.0914407,-12.433322,-15.895025,5.845833,-9.774138,0.2460903,3.6666474,-3.7916098,-2.528027,-4.8648176,5.6293993
28,lepas,dlepas10,-208.32767,-19.376945,-13.866523,-14.822285,-14.897457,8.492182,-18.222393,1.5967586,8.306608,-0.965149,2.7773414,-2.0059898,4.8072577
29,lepas,dlepas10,-432.7973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,lepas,dlepas10,-432.7973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,lepas,dlepas10,-432.7973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
