frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,lepas,lepas4,-406.5373,-8.782872,12.485844,-12.754423,1.0813354,2.7232163,14.616734,0.6278473,0.78055596,-6.2656527,-4.013077,5.3735027,3.0737345
1,lepas,lepas4,-280.71744,14.072729,40.96115,-10.790882,18.02325,12.682024,19.015242,-5.5184565,-6.430443,-7.7884054,-0.47099125,7.060961,6.7133703
2,lepas,lepas4,-154.16707,72.666985,49.609715,12.044554,-13.17289,21.520233,26.110487,-20.866112,-2.6035826,-2.9254928,-2.3343806,3.7268782,8.281729
3,lepas,lepas4,-133.62996,63.990707,43.11444,28.61369,-5.3644915,25.396873,14.428701,-20.484276,-7.072899,-11.243666,-10.27692,2.0122118,11.507652
4,lepas,lepas4,-85.3412,59.7162,43.93561,12.453471,-33.347157,30.782784,11.066224,-34.709084,-0.40363473,2.9134288,21.434788,-7.827137,9.735695
5,lepas,lepas4,-91.17342,66.02375,42.697044,3.6748397,-28.098356,24.45021,5.074331,-33.159576,9.628088,2.1195037,15.024635,-9.802915,14.939655
6,lepas,lepas4,-140.02466,84.59742,36.126343,11.746838,-15.583728,18.445068,11.818262,-16.366661,-4.2864747,-3.8663688,13.820145,-6.677339,12.513335
7,lepas,lepas4,-182.43304,64.010666,10.930539,7.1756806,-14.05338,19.5102,11.103148,-10.698709,1.9216216,-2.0223289,22.676878,-2.0449686,9.897899
8,lepas,lepas4,-219.12785,68.61066,4.50358,5.2617025,-3.383625,22.015118,9.243503,-10.721677,2.987972,-0.7182098,19.763668,-0.09452498,11.542773
9,lepas,lepas4,-284.7894,52.820923,2.3510273,-7.037008,-2.1752458,24.668688,6.1553097,-9.59666,4.7488575,4.3749046,22.522604,9.120912,11.855472
10,lepas,lepas4,-383.76575,33.09671,0.07445431,-3.8702683,0.5736846,3.101316,3.775855,-2.9970908,0.3256744,4.9078784,18.559847,19.015482,12.576955
11,lepas,lepas4,-428.54575,3.6513321,-0.36701548,-1.8519771,0.36435938,3.0439625,2.6978517,-0.12681305,-1.6608379,0.3023634,3.6180906,4.3836093,1.64484
12,lepas,lepas4,-432.6496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,lepas,lepas4,-432.3243,0.1925856,-0.2987514,-0.44273424,-0.071959615,0.38248023,0.39222196,-0.05406782,-0.43750226,-0.31225184,0.17603633,0.45965043,0.20883548
14,lepas,lepas4,-344.0543,5.5731773,-13.116369,0.30992186,13.002903,5.476801,-7.6789765,-8.07896,-0.8718978,-2.8379874,3.0545888,1.3765061,-3.0362926
15,lepas,lepas4,-125.827446,28.86223,4.4239874,-14.45067,-7.9775333,-3.423697,-3.6851816,-8.72929,13.564743,2.266468,6.2553725,5.6967754,4.4794025
16,lepas,lepas4,-115.91637,86.39845,25.933187,-10.280291,-9.94833,7.9075866,24.5262,-8.701478,-1.5562859,9.01907,0.7165406,1.2253609,2.8355687
17,lepas,lepas4,-111.053246,85.496414,27.963226,-18.387402,-15.912245,27.614977,19.996712,-22.601343,7.147381,11.3279705,-10.757423,-4.6834564,12.631416
18,lepas,lepas4,-108.34017,87.793304,35.22651,-28.627707,-17.590855,33.396896,15.851555,-27.280647,8.894681,17.495552,-16.226662,1.8493505,12.789522
19,lepas,lepas4,-104.54504,79.47591,39.521378,-22.117332,-10.149488,20.281685,14.207857,-19.49113,8.507551,19.882673,-15.547716,-4.305197,11.111055
20,lepas,lepas4,-109.14138,77.24884,32.22306,-11.033999,-2.6657765,17.510015,9.489383,-14.339029,2.4196029,15.436107,-7.51478,-6.177786,9.327412
21,lepas,lepas4,-117.62582,62.75926,27.109232,-4.7684946,4.175476,13.467255,8.102536,3.487726,5.2971964,-0.7616607,6.5505104,-0.49406114,-0.44554186
22,lepas,lepas4,-129.29387,-13.477064,25.504536,3.4703543,7.2316613,14.077034,3.8481455,-3.2696192,15.462087,0.9448123,12.1884575,2.648623,10.153726
23,lepas,lepas4,-134.70203,-28.82446,31.54301,-4.1203747,1.1927203,16.767387,6.5863485,-3.7558308,13.609294,0.8432179,13.902809,-3.2449255,9.319103
24,lepas,lepas4,-154.50769,-38.70873,22.382399,-8.173161,-8.061625,8.964027,11.689411,-4.076543,18.232672,8.406128,16.676182,7.4886813,8.305761
25,lepas,lepas4,-159.17744,-42.289215,8.181669,-18.052818,-21.010912,1.0526543,-3.5138054,-9.884342,17.476734,-1.541534,16.455776,5.795269,17.808842
26,lepas,lepas4,-182.6663,-59.059822,-10.2824135,-25.137419,-27.969536,-13.434567,-25.985607,-18.601116,4.037757,-13.38909,5.0717297,9.183781,13.775007
27,lepas,lepas4,-212.65302,-58.154236,-12.082556,-23.492083,-16.065607,-4.4190183,-22.828392,-25.747864,6.4323077,-12.701231,10.531521,9.766148,21.193125
28,lepas,lepas4,-218.12889,-41.354046,-6.7400074,-21.729713,-21.518135,-0.09076452,-17.796936,-16.084091,7.334917,-18.228796,1.5879002,2.9788992,8.689497
29,lepas,lepas4,-270.87308,-33.201508,-5.722264,-12.632204,-7.084254,5.2126245,0.44129813,-7.695119,0.8304961,-13.274183,3.0088139,4.7144747,7.617297
30,lepas,lepas4,-432.6496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,lepas,lepas4,-432.6496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
