frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,maju,dmaju5,-351.77438,36.95701,17.983063,10.568583,3.2798233,5.092377,8.011641,0.79819155,-3.7712712,-4.8257403,-6.4046793,-5.028393,-2.048346
1,maju,dmaju5,-293.20868,81.50091,36.2938,28.971436,23.445824,17.273643,13.783703,7.1260037,1.7861986,-6.006343,-3.405453,-7.985497,-1.8453062
2,maju,dmaju5,-227.81477,84.47863,42.797806,33.092102,13.780453,24.392977,-1.8115041,10.465124,13.464464,-4.7597494,-8.596643,-16.135813,4.8998823
3,maju,dmaju5,-171.21811,82.69748,29.370739,22.582994,3.7447848,29.50564,7.7356744,11.525246,11.832937,-4.2452335,-5.239148,-18.218515,2.432704
4,maju,dmaju5,-119.944305,90.68585,26.069244,-13.618055,-3.0380516,22.43507,9.877284,6.093715,11.151083,-7.656428,-1.5844173,1.5601392,8.38768
5,maju,dmaju5,-104.02399,82.54721,13.56556,-10.362818,4.3598294,26.0238,5.1441894,2.8000367,11.0023155,-2.1053603,0.18277442,8.911961,2.4305863
6,maju,dmaju5,-80.01089,71.61783,8.033219,-6.382162,-1.6215702,30.681263,0.88708055,3.1417449,12.579178,-1.4547889,0.82759935,5.9177475,0.85089326
7,maju,dmaju5,-78.44193,72.75708,6.9834023,-3.8274243,-1.6427596,29.099472,2.7111187,0.18496753,11.534914,-0.51564455,5.5414486,1.8433931,4.2807846
8,maju,dmaju5,-90.009605,75.47327,11.577496,-3.4940114,2.5425267,24.276844,2.243216,0.8902331,12.251281,-4.7504826,9.409445,1.8704255,4.3710136
9,maju,dmaju5,-112.214645,78.27394,23.356785,1.2000962,2.4319556,19.679777,-0.4266733,-1.4716134,14.138543,-0.018808812,3.9819622,1.3012187,3.4565253
10,maju,dmaju5,-115.01825,80.580666,24.525806,-5.2858,5.399496,23.076157,-0.011527538,-2.6267753,13.967344,-3.1398416,8.216394,0.6805017,-0.72512645
