frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,maju,maju24,-314.39322,35.567932,25.973684,7.085577,7.078761,-1.3681135,14.358574,-2.0995219,2.0007687,-8.690771,4.553197,-1.3314624,2.4683275
1,maju,maju24,-239.57445,42.699287,33.46567,0.909248,27.01445,2.5301309,35.893036,4.2595453,17.314594,-12.203348,-2.0298872,-6.6665397,1.6134827
2,maju,maju24,-161.97636,77.584595,32.322876,13.8658905,21.269373,6.00774,35.561428,0.68825465,-1.5047455,-3.9761477,-13.079655,-16.769567,3.4619048
3,maju,maju24,-111.48861,90.67127,25.518469,-3.0607514,-12.640276,7.627267,28.084652,-16.412277,-0.8636588,-6.293316,4.8594418,10.15733,-6.1629953
4,maju,maju24,-104.74057,83.89734,24.029577,-4.0805383,-6.781425,13.139474,20.320446,-19.786713,5.365554,6.007062,0.019556522,3.6846151,-11.372454
5,maju,maju24,-98.45296,90.61267,11.353347,-0.88101506,0.09238163,7.017066,12.151581,-21.101408,11.380442,4.566408,2.0913103,10.251036,-20.706425
6,maju,maju24,-96.23651,84.30719,21.946735,-1.2878779,1.404052,-3.4565506,14.241253,-28.317663,18.00042,15.280115,-6.4088836,7.23406,-20.957726
7,maju,maju24,-93.83502,70.54083,35.261955,8.483799,-2.1915507,-5.161151,1.0595196,-12.774709,16.68109,9.446137,-9.398638,-1.9371724,1.9682078
8,maju,maju24,-99.42136,62.267456,37.52944,24.100279,6.60098,-7.3188887,1.3302393,-13.894712,8.237554,-4.8760233,-10.995213,2.812604,7.2548494
9,maju,maju24,-153.00137,79.66765,35.069763,29.097904,14.693152,-7.3965483,-2.1929421,-3.8179655,5.6019497,-1.7145922,-2.1415617,-1.3505045,-2.4167106
10,maju,maju24,-180.73009,84.1194,31.09795,28.690992,17.332514,-3.3242874,3.4631782,-6.1108465,7.352113,4.1506767,-0.35324368,-3.6174033,-3.865434
11,maju,maju24,-215.23717,83.25812,40.27012,40.928062,18.001764,-4.748781,0.2314961,-1.696239,5.846888,-2.8047085,0.6813135,1.7422677,-0.96781856
12,maju,maju24,-139.09131,14.43818,69.0611,22.661371,-5.7664156,21.114693,11.423384,-20.583965,18.438103,0.7400417,-6.4326086,-2.3909528,-0.40397942
13,maju,maju24,-106.14044,47.938488,44.539936,36.656116,6.9466395,1.5999115,5.691046,-14.663889,5.544656,-10.189706,-2.9552803,-2.9336145,2.546943
14,maju,maju24,-103.43452,80.39584,27.385498,11.668351,18.216936,3.7156937,7.314368,-18.00076,-2.1088874,-9.5717745,9.337977,-4.1807947,-7.5047665
15,maju,maju24,-115.69921,94.63388,33.024567,6.6949916,2.0225377,4.708378,15.621844,-4.607791,-6.825885,-15.876268,-3.4714556,-0.9704031,-2.7521877
16,maju,maju24,-130.48314,92.304504,52.92806,12.093969,-14.5134115,-1.678208,18.839386,0.6890205,-7.8197093,-18.19365,-4.165184,-2.0336423,-13.699526
17,maju,maju24,-139.24896,93.458725,54.747337,15.833377,-13.322234,-4.089568,8.158358,-3.6717446,4.052224,-7.6524677,-4.646311,-14.411683,-5.2048016
18,maju,maju24,-154.319,99.06979,58.347145,18.71479,-12.121382,-1.1272478,3.324753,-8.819638,1.1064948,-3.1946406,2.5018613,-13.961643,-12.712241
19,maju,maju24,-165.4428,107.88522,59.79296,19.96946,-19.05133,-4.234618,5.645809,-9.497143,6.152391,-6.3060436,-0.5824206,-13.031078,-8.78265
20,maju,maju24,-176.31628,98.85625,65.95836,29.105833,-15.858236,-3.7273693,-3.6304698,-12.174539,16.77171,-5.3286924,2.5453093,-13.6975,-9.50896
21,maju,maju24,-182.63542,99.513855,53.61418,27.671345,-14.881649,-0.43823504,1.3529384,-14.779786,10.485504,-6.912635,-1.1855032,-13.052279,-6.924528
22,maju,maju24,-180.07306,91.79227,27.350504,21.9972,1.3063016,-2.1392305,-5.6355553,-9.059376,-1.0207179,-2.6985745,-0.6655948,-4.967245,-4.2741356
23,maju,maju24,-265.23566,73.37656,48.74845,42.105835,3.0373163,-17.251226,-9.471285,-0.90434873,2.908492,-2.5424447,2.5411334,-4.9155083,-8.606161
24,maju,maju24,-323.8166,47.04138,27.646152,28.406681,6.1592093,-15.340338,-6.719004,5.0927505,-4.076656,1.1969595,12.483259,1.8080418,-2.4553266
25,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
26,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
27,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
28,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
29,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
30,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
31,maju,maju24,-374.68988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0
