frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,mulai,dmulai4,-347.14566,25.610243,10.387204,2.0471394,-0.05345258,-0.7008393,-15.845058,0.49810776,1.9930723,-2.1031952,3.4778993,-4.8891864,-0.89254
1,mulai,dmulai4,-253.46388,73.21083,43.350807,30.492575,17.747116,13.845249,-4.18656,5.0585394,9.79059,-6.2297544,-7.3239126,-14.402852,1.2679787
2,mulai,dmulai4,-216.675,89.936035,41.78642,29.372442,10.597266,8.817723,-2.1092682,4.372451,13.9213295,0.732703,-6.2700825,-15.44645,0.64726925
3,mulai,dmulai4,-183.74628,96.39189,25.48552,26.057533,13.4472885,4.5132866,-3.0919738,5.571766,11.392654,3.8446085,-3.383422,-11.6445465,2.0500627
4,mulai,dmulai4,-158.18777,105.509445,34.975887,19.853458,7.7885466,-2.4882078,-9.619913,-5.3123403,8.14829,4.179714,-4.732105,-5.7515793,1.2098554
5,mulai,dmulai4,-151.607,108.94794,35.06923,17.358255,2.097868,0.24968478,-12.207848,-0.93022853,13.243656,0.17151523,-3.373191,-9.986893,1.445399
6,mulai,dmulai4,-151.51482,107.15954,35.6827,18.696869,5.7767124,-4.618929,-9.070093,-6.73406,14.539919,2.5466592,1.4049067,-10.96368,-0.058677673
7,mulai,dmulai4,-150.62622,109.996704,36.118515,15.730211,-1.9643862,-0.6370178,-8.449107,-6.6756306,10.318808,3.9742265,-1.2766101,-10.143822,3.1865132
8,mulai,dmulai4,-158.19038,112.707275,37.58484,12.901859,2.652518,-3.9760976,-10.412624,-5.2023897,11.792083,2.3461132,-0.94270366,-10.062408,3.4357705
9,mulai,dmulai4,-168.09555,115.73068,45.431385,10.149946,-1.8968947,-3.9528599,-4.05009,-10.024842,9.474061,4.3310237,-0.73819184,-11.665433,3.5759652
10,mulai,dmulai4,-168.75716,111.36902,49.113182,11.71644,-2.502737,-7.4782877,-3.8495917,-6.610886,6.458071,2.5555604,-2.662522,-8.081625,1.4419501
11,mulai,dmulai4,-178.6813,112.349884,53.56926,11.348461,-5.6175857,-8.627614,-3.8617206,-5.1951613,10.489868,1.7105025,-8.260651,-11.282078,1.9555264
12,mulai,dmulai4,-163.79564,108.66312,46.27848,-0.55818695,-11.570886,5.5833254,6.9851375,-4.0692024,-8.119117,-2.1264248,-3.459039,-4.31178,12.443713
13,mulai,dmulai4,-161.09381,106.60297,22.06908,10.906273,19.339504,4.74033,-11.075102,-10.0566845,-7.8816953,-4.4163537,4.255786,-4.631724,-0.53096294
14,mulai,dmulai4,-151.93233,101.88611,30.3788,13.064749,12.991968,1.5754746,-9.43254,-4.540873,-8.608817,-5.9908285,7.5228167,-13.779341,-0.7942102
15,mulai,dmulai4,-126.68579,93.87014,26.5629,18.700903,-2.3046105,-5.465462,-1.7754924,-10.609286,-5.1534004,-1.6303511,6.885784,-14.3091,11.08948
16,mulai,dmulai4,-102.11331,98.2164,13.070163,-1.4755876,-5.8412986,-2.1971853,0.52047384,-3.6412554,5.798996,6.417571,6.6393447,-10.589329,-0.82596135
17,mulai,dmulai4,-109.52012,98.79216,15.647162,0.027958632,-7.0496807,-2.7418232,-0.3179623,0.49649918,7.196155,0.8139553,5.653986,-9.475656,-0.7111236
18,mulai,dmulai4,-106.620674,90.97675,13.389007,-0.18443784,-3.5273507,1.19915,-3.387407,0.7208522,10.998539,1.5099903,6.023161,-15.404318,1.2312826
19,mulai,dmulai4,-113.99368,89.99814,16.057373,4.022527,1.0032072,-6.733187,-6.114789,1.2052796,9.139226,5.9338775,3.0088723,-10.2042885,5.886639
20,mulai,dmulai4,-118.13124,83.39812,14.996986,7.2610407,8.781239,-3.7640345,-10.232086,-1.6275964,13.222448,-4.5503116,3.448175,-10.179397,12.585178
21,mulai,dmulai4,-141.02885,69.79266,28.473436,27.764992,10.650322,-10.038416,-12.5681305,-3.3406787,9.812898,-6.2015457,-3.8858953,0.22232038,15.694252
22,mulai,dmulai4,-163.49545,56.2539,34.53489,33.413925,5.3802986,-8.085085,-1.587277,-2.6191716,10.838797,0.6270263,0.83179736,-14.25643,16.637005
23,mulai,dmulai4,-170.78636,47.509804,41.77597,30.238354,-6.639599,-4.2771883,4.943783,-1.1289428,3.8431098,4.47108,1.3187464,-9.5247555,14.4321785
24,mulai,dmulai4,-210.02406,52.577217,34.50793,32.29043,6.446022,-4.272968,3.4071538,2.8569317,8.803559,1.9622977,0.6250442,-6.706906,7.7678614
25,mulai,dmulai4,-237.4951,49.32745,30.903427,29.283806,5.7304797,3.1968398,3.8169649,-1.8074821,5.5233517,4.193389,3.7890854,-4.939664,18.629452
26,mulai,dmulai4,-268.83237,44.688118,24.337238,18.286316,0.35220844,6.5755897,3.1596463,4.925667,1.3654499,2.7641625,7.1447415,-3.1199727,5.9959846
27,mulai,dmulai4,-421.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,mulai,dmulai4,-421.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,mulai,dmulai4,-421.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,mulai,dmulai4,-421.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,mulai,dmulai4,-421.2779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
