frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,mulai,mulai10,-394.1725,6.0800786,11.59914,5.609316,10.742382,4.7337866,9.429371,3.573522,7.811822,2.281228,6.065214,1.0160275,4.3612986
1,mulai,mulai10,-262.44275,63.774986,20.335964,25.897095,25.39883,2.873554,23.574083,-2.88604,-7.8072543,-7.643955,6.161417,-8.769104,-5.1924124
2,mulai,mulai10,-146.64934,62.94027,12.564641,37.306564,5.2582045,-5.20354,22.433907,-2.4222097,-6.9066086,-2.407723,1.8260547,-7.3582993,-8.815225
3,mulai,mulai10,-124.065956,78.13784,17.914165,20.920345,1.2151237,-26.853481,6.102142,-8.138581,-6.0541563,7.4625373,12.926373,-6.5831594,-4.3367767
4,mulai,mulai10,-132.42116,86.84158,26.442207,14.401043,-5.3300996,-31.844557,7.995034,-1.9094133,-7.9037294,6.6286793,8.901822,-7.911071,-2.7462225
5,mulai,mulai10,-132.20706,87.234726,28.388939,-0.42717618,-2.963726,-26.439102,2.6579213,9.0606,-10.87723,-2.3436418,6.301628,-14.1448765,3.5537312
6,mulai,mulai10,-103.45483,85.81369,1.5423623,1.8217306,-9.529401,-16.40807,18.17329,-10.853662,-15.186046,-4.124979,9.14018,1.7771761,5.258909
7,mulai,mulai10,-98.626366,81.97876,-14.064106,4.143104,3.001391,-20.60809,10.594138,-16.347277,-14.513857,4.2208276,9.532707,-0.025101185,-0.9238154
8,mulai,mulai10,-91.000465,78.53827,-17.490768,3.6833262,-4.7092447,-14.318358,6.9744205,-17.148018,-13.955772,0.8175181,15.198763,-5.630213,3.833319
9,mulai,mulai10,-85.86041,75.581985,-17.921299,-8.850343,-13.241536,-13.429455,2.8791118,-17.760374,3.3376355,2.01348,20.955378,-11.550562,3.7017941
10,mulai,mulai10,-67.61567,61.397453,-21.373772,-14.775628,-9.179298,-8.089415,-3.6911035,-14.08865,12.911293,-2.580186,17.234566,-11.60845,-5.0918703
11,mulai,mulai10,-72.124725,66.31456,-25.349396,-11.131926,-4.8084416,-7.1230288,-8.690707,-10.825808,13.201403,4.269947,14.010191,-9.449685,-6.5264215
12,mulai,mulai10,-73.568794,67.93393,-27.52884,-6.253255,-3.571659,-13.6977625,-6.1637278,-10.2044935,20.632286,0.2647271,12.79874,-10.119856,-6.972982
13,mulai,mulai10,-76.429016,67.354256,-20.633091,1.1085165,-9.234165,-16.964,-16.075417,-6.9852366,25.511616,-7.5669007,13.643522,-3.4305067,-1.6970588
14,mulai,mulai10,-86.098885,64.509964,-8.080301,24.854443,-2.758414,-22.77974,-13.045116,-12.24445,13.797922,-16.615196,7.1918383,6.799371,2.2379022
15,mulai,mulai10,-99.17075,51.28698,7.133428,37.513237,-6.5422897,-11.784582,-6.978937,-13.101362,4.331378,-17.751217,1.0795823,-4.071359,-0.09992608
16,mulai,mulai10,-129.09135,57.21946,20.899544,41.536587,5.878471,-11.578456,-6.732395,-17.661812,6.8638372,-17.132366,-0.78987724,-0.33888733,-0.44877887
17,mulai,mulai10,-143.25166,59.482117,14.236377,46.62814,7.1863613,-7.7215033,-2.0733476,-17.416727,8.176803,-18.778572,1.7094767,-3.7414892,-0.03938788
18,mulai,mulai10,-170.85748,40.942596,23.024414,48.203285,8.739429,-0.28170264,2.5535223,-12.526208,12.638026,-11.864532,5.8083158,4.665957,-1.3102645
19,mulai,mulai10,-259.48007,37.80079,28.639246,54.955997,20.229874,-2.9703817,2.6051488,-8.865592,9.898102,-8.813712,3.219284,3.9361844,4.753056
20,mulai,mulai10,-286.795,46.41201,19.318703,23.800968,8.230606,9.971531,17.11683,-1.5291913,12.955915,5.3107057,0.92491615,5.712478,0.50596416
21,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,mulai,mulai10,-402.58478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
