frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,mundur,dmundur6,-354.323,34.144264,20.464634,13.431471,7.060706,5.3898306,7.6125116,2.0888708,2.6671524,4.571778,-0.2954504,-0.9599047,2.5859466
1,mundur,dmundur6,-217.64426,68.72008,47.54174,31.335348,13.4822235,16.449495,6.6470823,-6.3112946,5.7462645,-6.8849354,0.9593146,-2.4564128,7.6550303
2,mundur,dmundur6,-175.40392,84.29636,48.495636,15.643072,2.3495953,10.7893305,0.97340846,4.2235136,17.343624,-6.747707,-1.1168985,-9.719423,6.75288
3,mundur,dmundur6,-153.28036,79.53895,44.328575,15.254664,5.6381054,14.684471,-6.3374777,4.0899568,13.7642355,-6.558326,4.8900957,-9.905943,9.390379
4,mundur,dmundur6,-150.00922,81.03072,37.5709,18.225357,4.267664,18.872242,-3.029872,0.09876819,13.975202,-4.878451,3.8117752,-8.865154,8.708235
5,mundur,dmundur6,-152.78485,79.04345,34.9498,19.125925,10.933749,10.480551,0.75994,-3.3599863,17.860111,-4.017126,2.945239,-5.3583755,5.7017293
6,mundur,dmundur6,-154.08406,82.28313,37.387924,10.372397,8.503657,12.596743,2.9192812,0.14066365,12.051438,0.18399501,0.3759747,-3.657915,4.150151
7,mundur,dmundur6,-152.78394,85.74343,29.822628,7.7550945,11.101593,15.8078985,10.263042,1.8967276,14.830616,-18.16664,-0.78463507,2.1274753,7.208807
8,mundur,dmundur6,-159.41965,91.37883,11.81925,13.296299,25.456358,21.091152,4.2448654,-2.5014286,3.0194807,-6.2151976,6.9627028,-0.041436642,7.053298
9,mundur,dmundur6,-181.24321,84.59073,20.113087,30.832441,30.721544,15.392059,-1.0059149,-1.493975,6.6944346,-0.17245895,-1.2514931,-10.295715,6.5809484
10,mundur,dmundur6,-184.82375,77.3058,21.866493,32.70234,30.712597,13.933601,3.1127224,2.3311088,0.7388009,-1.6339566,3.4103138,-10.541647,9.426561
11,mundur,dmundur6,-192.62523,78.223236,27.626429,36.42544,27.104744,11.352427,0.5058073,5.377653,5.2045803,-0.33264637,-0.012862921,-14.724363,13.781083
12,mundur,dmundur6,-185.70665,83.32136,21.9348,36.25407,30.9436,12.982447,-6.9544353,7.2263274,2.6643262,-1.2941445,0.13115916,-17.940273,18.500608
13,mundur,dmundur6,-185.18375,84.86441,26.335083,28.577404,25.9743,12.965988,-4.2527742,2.96248,4.622563,-0.7949688,0.008001864,-16.88406,15.207214
14,mundur,dmundur6,-178.55493,85.469086,19.673916,33.858112,30.415907,8.06712,-7.4898906,6.6250405,5.9897575,-2.9963827,3.3475385,-16.435226,14.853106
15,mundur,dmundur6,-183.426,82.93126,29.686842,39.145996,23.862602,11.288738,-7.947144,7.149778,-0.6404766,-1.7141685,8.276155,-21.975231,16.780188
16,mundur,dmundur6,-206.1466,89.23595,38.868362,39.869545,23.853748,17.494995,-2.7315445,-0.6513833,-4.085909,1.7813433,3.9261463,-20.863148,11.369728
17,mundur,dmundur6,-250.20915,87.16908,28.951754,29.391321,20.378128,23.928192,2.6164298,-3.9497027,-0.07726872,2.6661649,0.33494577,-9.722006,-0.13623261
18,mundur,dmundur6,-145.5023,86.53938,38.491882,18.056541,11.641134,28.476688,3.4028578,-17.560516,-1.0902532,-8.4251175,6.2388678,-13.2698345,7.737671
