frame_id,class,file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,mundur,mundur3,-400.81754,0.09067339,2.3966918,0.20843071,2.2017088,0.4278487,1.9030483,0.71902716,1.5362693,1.042509,1.1438768,1.3548505,0.7694795
1,mundur,mundur3,-239.97699,50.83721,35.262802,2.9939535,16.514515,6.0670424,6.4435573,-2.9985633,4.5478735,2.1984801,7.683899,0.531108,7.1442537
2,mundur,mundur3,-154.34987,95.233086,43.610924,12.50634,-1.1269016,-4.77905,24.685837,-13.673557,3.750448,4.738034,-5.191741,-0.58523434,0.7798554
3,mundur,mundur3,-142.31331,99.11752,46.218338,8.82207,-2.8927722,-3.0177698,19.182434,-14.252506,8.021084,1.0281446,-8.132084,4.1350784,-6.3063703
4,mundur,mundur3,-140.07262,95.539566,50.800995,9.039629,-5.2288465,-9.249842,20.880959,-3.335815,5.405224,-4.9180655,-8.60597,8.382285,-2.4529598
5,mundur,mundur3,-141.67706,94.30426,55.452713,-0.71641445,-13.754266,2.988883,30.808044,-13.880077,8.634791,2.8651233,-13.780034,0.09111571,2.6465795
6,mundur,mundur3,-125.361855,83.72662,46.632645,3.143073,-4.7478914,-0.53541166,30.255125,-8.525663,0.87586784,-4.7817593,-5.491401,10.207714,-0.74339414
7,mundur,mundur3,-118.17037,77.26931,36.584927,2.1147358,11.747379,13.310263,19.295717,-15.282894,-6.734276,2.657919,1.103416,5.968651,1.1642239
8,mundur,mundur3,-152.16862,77.19896,47.52011,17.948055,20.933046,2.2144046,11.646366,-10.56336,-3.9052007,11.613373,2.0832624,-10.098751,-5.6334224
9,mundur,mundur3,-145.8155,74.30281,41.829502,18.549963,24.305077,4.8008947,14.024372,-15.195223,-3.088096,4.4146414,-1.5426657,-3.644857,-1.0632644
10,mundur,mundur3,-147.64386,66.85973,44.067924,25.378231,25.804205,0.49946105,10.618546,-17.019455,-2.764471,13.345494,-2.8965383,-5.848336,0.5465711
11,mundur,mundur3,-166.89827,75.093094,53.58693,25.440716,24.84093,-0.24358171,6.384343,-18.886509,-2.4690292,14.542877,6.608341,-10.879323,-6.087214
12,mundur,mundur3,-171.90778,74.62876,55.499977,21.23505,26.194273,5.5554113,3.5813804,-17.724115,-5.4624763,18.127975,7.9614735,-10.77316,-6.038134
13,mundur,mundur3,-183.79349,73.15346,60.106163,18.137653,26.118092,1.5979767,10.105146,-18.75996,-5.019367,16.496346,5.3510184,-7.2148256,3.794757
14,mundur,mundur3,-206.37926,64.9668,55.702286,23.005795,34.416054,16.114105,5.4629107,-25.472256,-10.093127,20.985607,7.328876,-7.4368343,3.2919638
15,mundur,mundur3,-230.46062,68.71097,51.20981,20.489561,27.572105,14.22846,9.167006,-8.314583,-0.19773972,10.426537,7.427026,-2.1661642,-1.1629767
16,mundur,mundur3,-121.22998,85.64793,24.258982,15.011723,17.071817,7.381567,8.496222,-21.114315,3.1869147,-16.516792,2.71778,3.031263,-4.2842183
17,mundur,mundur3,-126.934135,87.847595,45.80077,7.4834476,1.9045706,8.900347,18.138287,-22.098373,-1.6235243,-13.099388,0.19491637,-6.0775566,11.290165
18,mundur,mundur3,-130.34415,93.75307,50.560112,8.477399,-7.66063,-0.59696156,25.010246,-19.189808,3.808543,-12.403197,-7.1166553,-7.27293,12.6947365
19,mundur,mundur3,-134.13467,96.23444,51.75617,10.675793,-12.916926,-0.37713292,27.804966,-14.417011,0.6107879,-14.178987,-7.684144,-6.167417,11.846067
20,mundur,mundur3,-140.92976,91.20232,60.265533,13.329903,-21.292763,-3.6094348,33.564735,-8.124291,0.4721291,-23.43462,-7.359762,-3.6639602,18.202347
21,mundur,mundur3,-142.44939,85.57736,54.022118,12.575136,-10.021954,2.5366392,24.477726,-15.330927,4.5437274,-8.628449,-8.201757,-11.154727,11.437166
22,mundur,mundur3,-152.13017,84.01004,59.40209,5.730864,-12.948376,6.7107034,33.325916,-21.458576,-0.589966,-9.011868,-0.50536263,-6.7299967,11.64983
23,mundur,mundur3,-118.54625,75.60599,32.003384,3.3627093,-5.534316,5.3671923,24.648626,-12.931962,0.14282942,-5.016522,0.95129526,0.5509963,5.7480235
24,mundur,mundur3,-114.93454,62.949593,31.946579,2.2422934,-3.9637995,7.3491373,15.422815,-11.050373,0.8271667,2.8362002,6.0803742,7.2876244,0.4083677
25,mundur,mundur3,-149.37468,66.56206,15.697805,3.8339705,18.757135,11.974091,-0.27297798,-7.126731,3.453406,-2.9036522,11.686013,7.282651,-3.2891908
26,mundur,mundur3,-154.83366,56.62653,13.355616,-4.5993443,25.068565,5.826742,-9.505089,-9.11693,0.9921397,2.0158334,11.006393,11.257309,2.6909738
27,mundur,mundur3,-189.50877,54.971516,16.202879,-4.860142,29.341686,12.17817,-2.0851371,-3.5240836,9.895363,1.5456868,2.2372174,9.0227,6.3112693
28,mundur,mundur3,-210.40112,57.632027,-0.014994621,-13.834759,39.04416,19.50708,10.5957155,7.1883187,9.491534,7.3101764,1.5002837,8.535616,9.925714
29,mundur,mundur3,-267.57095,55.088326,-10.536715,-17.027773,19.048523,17.092323,12.152092,2.1482038,5.616355,10.294859,5.4095273,6.9247274,8.971975
30,mundur,mundur3,-402.56018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,mundur,mundur3,-402.56018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
